"Pujol 2002, No. 20-3-3S"	
12980	
17.23	47.232
17.24	47.255
17.28	47.255
16.84	39.900
16.82	39.878
16.82	39.900
16.82	39.922
16.83	39.900
16.48	35.889
16.49	35.911
16.49	35.911
16.52	35.933
16.50	35.933
16.14	31.164
16.13	31.164
16.14	31.142
16.13	31.142
16.16	31.164
15.76	26.862
15.71	26.885
15.72	26.840
15.70	26.840
15.69	26.840
15.65	29.247
15.69	29.203
15.70	29.225
15.71	29.225
15.66	29.292
15.20	22.427
15.15	22.427
15.16	22.427
15.11	22.405
15.15	22.427
15.16	23.341
15.12	23.319
15.11	23.319
15.08	23.363
15.08	23.319
14.64	17.836
14.65	17.814
14.68	17.836
14.65	17.814
14.68	17.836
14.17	13.513
14.14	13.513
14.20	13.513
14.15	13.535
14.16	13.580
13.68	8.966
13.73	9.011
13.67	8.966
13.69	9.033
13.67	8.989
13.51	11.485
13.50	11.485
13.52	11.485
13.50	11.462
13.51	11.440
13.29	8.721
13.31	8.743
13.32	8.788
13.34	8.855
13.35	8.743
13.13	6.493
13.13	6.448
13.17	6.493
13.14	6.515
13.19	6.493
12.88	4.442
12.88	4.487
12.89	4.487
12.87	4.509
12.91	4.509
12.57	2.503
12.56	2.548
12.57	2.548
12.54	2.481
12.53	2.548
12.57	3.439
12.59	3.439
12.61	3.395
12.59	3.417
12.62	3.395
12.55	4.019
12.52	4.019
12.52	4.019
12.52	3.996
12.52	3.996
12.52	4.886
12.52	4.864
12.51	4.886
12.52	4.886
12.52	4.886
12.37	2.234
12.37	2.256
12.41	2.234
12.36	2.256
12.41	2.256
12.34	3.125
12.33	3.081
12.32	3.081
12.30	3.081
12.31	3.058
12.34	3.170
12.30	3.170
12.30	3.170
12.28	3.192
12.30	3.170
12.31	3.214
12.33	3.170
12.32	3.214
12.36	3.237
12.34	3.192
12.28	3.638
12.30	3.660
12.33	3.682
12.31	3.660
12.29	3.660
12.16	3.648
12.09	3.581
12.14	3.537
12.15	3.425
12.15	3.581
12.16	3.626
12.14	3.626
12.07	3.648
12.11	3.670
12.13	3.603
12.08	1.731
12.06	1.754
12.11	1.754
12.10	1.776
12.05	1.776
11.96	2.600
11.95	2.600
12.05	2.578
12.06	2.600
12.06	2.578
11.95	2.645
11.96	2.645
12.01	2.623
12.06	2.645
12.02	2.623
11.81	-0.074
11.80	-0.096
11.81	-0.074
11.81	-0.074
11.80	-0.096
11.81	0.015
11.81	0.038
11.81	0.038
11.81	-0.007
11.81	0.015
11.25	-6.938
11.29	-6.916
11.31	-6.938
11.32	-6.960
11.29	-6.916
11.04	-8.855
11.01	-8.833
11.05	-8.833
11.07	-8.810
11.02	-8.788
11.00	-7.362
11.07	-7.384
11.01	-7.362
10.99	-7.384
10.99	-7.339
10.95	-7.161
11.00	-7.183
10.97	-7.161
10.92	-7.161
10.96	-7.161
10.91	-6.849
10.93	-6.871
11.01	-6.804
10.95	-6.849
10.94	-6.827
10.81	-8.721
10.89	-8.721
10.82	-8.721
10.81	-8.721
10.82	-8.721
10.56	-11.128
10.57	-11.106
10.59	-11.017
10.51	-11.061
10.46	-11.061
10.24	-12.844
10.23	-12.866
10.17	-12.800
10.17	-12.844
10.23	-12.822
10.13	-10.415
10.09	-10.437
10.11	-10.437
10.15	-10.437
10.11	-10.393
10.15	-10.058
10.13	-10.058
10.08	-10.058
10.14	-10.036
10.13	-10.058
9.85	-13.334
9.91	-13.268
9.87	-13.312
9.83	-13.290
9.78	-13.290
9.38	-15.987
9.37	-15.987
9.46	-15.920
9.39	-15.920
9.34	-15.964
9.06	-17.703
9.08	-17.680
9.08	-17.658
9.02	-17.658
9.06	-17.613
9.03	-15.563
8.97	-15.585
9.06	-15.608
9.06	-15.563
9.00	-15.563
8.51	-19.998
8.50	-19.976
8.56	-19.954
8.56	-19.954
8.48	-19.976
7.98	-22.271
8.04	-22.227
8.12	-22.227
8.07	-22.204
8.08	-22.182
7.98	-19.129
8.01	-19.107
7.98	-19.107
7.92	-19.151
8.01	-19.129
7.98	-18.705
8.01	-18.683
7.99	-18.750
7.94	-18.705
7.99	-18.728
7.68	-22.249
7.74	-22.249
7.70	-22.227
7.69	-22.227
7.66	-22.182
7.37	-24.188
7.30	-24.188
7.37	-24.188
7.43	-24.166
7.42	-24.143
6.94	-26.372
6.93	-26.417
6.84	-26.372
6.87	-26.394
6.93	-26.394
6.90	-24.366
6.86	-24.433
6.80	-24.433
6.88	-24.411
6.93	-24.433
6.44	-28.734
6.41	-28.734
6.47	-28.712
6.40	-28.668
6.32	-28.712
6.00	-30.829
5.95	-30.829
5.98	-30.829
5.98	-30.807
5.93	-30.785
5.88	-28.200
5.81	-28.155
5.91	-28.200
5.94	-28.155
5.92	-28.200
5.87	-27.130
5.93	-27.130
5.85	-27.085
5.90	-27.152
5.89	-27.085
5.57	-31.052
5.60	-31.097
5.62	-31.075
5.63	-31.097
5.58	-31.052
5.24	-33.125
5.31	-33.080
5.29	-33.080
5.27	-33.080
5.35	-33.058
4.83	-35.331
4.91	-35.264
4.90	-35.264
4.84	-35.264
4.82	-35.242
4.84	-33.481
4.90	-33.526
4.83	-33.504
4.77	-33.526
4.79	-33.481
4.66	-35.666
4.68	-35.666
4.71	-35.688
4.70	-35.621
4.68	-35.599
4.68	-34.061
4.66	-34.061
4.62	-34.061
4.59	-34.039
4.70	-34.039
4.58	-36.178
4.58	-36.178
4.56	-36.178
4.60	-36.178
4.59	-36.134
4.38	-37.805
4.37	-37.761
4.39	-37.783
4.41	-37.738
4.40	-37.738
4.01	-40.011
3.96	-40.056
3.97	-39.989
4.04	-39.989
3.98	-39.945
3.65	-41.817
3.65	-41.750
3.59	-41.728
3.57	-41.728
3.67	-41.728
3.55	-39.410
3.59	-39.387
3.60	-39.365
3.57	-39.387
3.50	-39.387
3.40	-42.084
3.38	-42.084
3.36	-42.084
3.40	-42.017
3.43	-41.995
3.14	-44.134
3.11	-44.090
3.14	-44.068
3.19	-44.045
3.20	-44.068
3.08	-42.418
3.07	-42.441
3.10	-42.396
3.13	-42.396
3.08	-42.374
3.08	-40.858
3.00	-40.814
3.06	-40.858
3.06	-40.836
3.04	-40.814
2.89	-45.115
2.86	-45.115
2.89	-45.115
2.91	-45.137
2.92	-45.137
2.77	-46.831
2.72	-46.853
2.77	-46.853
2.78	-46.787
2.70	-46.787
2.56	-48.904
2.56	-48.926
2.52	-48.882
2.50	-48.882
2.54	-48.815
2.51	-45.873
2.41	-45.917
2.50	-45.917
2.44	-45.895
2.41	-45.895
2.46	-45.561
2.47	-45.539
2.47	-45.561
2.46	-45.561
2.43	-45.516
2.34	-49.082
2.36	-49.082
2.29	-49.060
2.28	-49.038
2.35	-49.038
2.15	-51.400
2.16	-51.444
2.17	-51.400
2.16	-51.378
2.19	-51.355
1.95	-53.406
1.88	-53.361
1.94	-53.361
1.94	-53.294
1.97	-53.339
1.86	-50.731
1.82	-50.754
1.93	-50.754
1.87	-50.754
1.86	-50.754
1.74	-53.963
1.78	-53.918
1.78	-53.896
1.77	-53.918
1.78	-53.896
1.59	-55.946
1.68	-55.946
1.64	-55.924
1.61	-55.924
1.66	-55.902
1.45	-58.086
1.46	-58.108
1.44	-58.108
1.47	-58.086
1.44	-58.064
1.40	-55.233
1.38	-55.189
1.38	-55.211
1.39	-55.144
1.32	-55.189
