"""Matamoros et. al 1999 Specimen c5-20 North"""	
16.9	-8.14
16.2	-8.81
15.2	-10.1
14.4	-11.1
13.6	-11.6
12.7	-13.2
11.9	-14.3
11.1	-14.9
10.3	-15.6
9.45	-16.5
8.61	-16.8
7.54	-18
6.68	-19
5.84	-19.8
5	-20.4
4.14	-21.3
3.3	-21.8
2.49	-22.5
1.65	-23.8
0.808	-24.2
0.0528	-24.8
-0.767	-25.7
-1.64	-26.8
-2.57	-27.3
-3.4	-27.8
-4.22	-28.5
-5.11	-29.3
-5.94	-30.5
-6.76	-31.4
-7.67	-31.8
-8.46	-32.1
-9.25	-33.4
-10.2	-34.1
-11	-34.5
-11.8	-35.8
-12.8	-36.3
-13.6	-37.4
-14.4	-37.2
-15.3	-37.9
-16.1	-38.5
-17	-39.5
-17.8	-39.6
-18.6	-40.7
-19.6	-40.7
-20.4	-41.7
-21.4	-41.9
-22.1	-41.9
-23.1	-42.3
-24	-43.3
-24.9	-43.2
-25.7	-42.9
-26.7	-43.7
-27.4	-43.8
-28.4	-45.4
-29.5	-43.9
-30.2	-44.1
-31.2	-43.9
-32	-44.9
-32.8	-43.9
-33.8	-44.2
-34.8	-43.9
-35.6	-43.4
-36.6	-43.7
-37.3	-43.1
-38.4	-43.4
-39.1	-43
-38.4	-37.5
-37.6	-34.8
-35.6	-30.1
-34.5	-27.4
-33.8	-25.4
-33	-23
-32	-21
-31.2	-19.2
-30.2	-15.9
-29.5	-14.1
-28.4	-12.5
-27.7	-10.5
-26.7	-8.94
-25.9	-7.56
-25.2	-6.18
-24.3	-4.94
-23.5	-3.61
-22.7	-2.07
-21.8	-0.947
-21	0.173
-20.1	1.52
-19.2	2.66
-18.4	3.52
-17.6	5.03
-16.7	6.05
-15.9	7.25
-15.1	8.14
-14.2	9.47
-13.5	10.2
-12.6	11.4
-11.8	12.6
-11.2	12.6
-10.2	13.9
-9.32	14.9
-8.59	15.7
-7.54	16.1
-6.71	17.1
-5.82	17.8
-5.08	18.8
-3.91	19.6
-3.33	20.2
-2.62	20.9
-1.79	21.8
-1.03	22.2
0.00754	22.8
0.775	23.6
1.69	24.3
2.64	24.7
3.3	25.7
4.11	25.8
5.08	26.4
5.13	26.2
5.89	27.4
6.68	27.8
7.7	28.2
8.41	28.9
9.3	29.8
10.2	29.9
11	30.7
11.9	31.3
12.7	31.4
13.5	32.3
14.3	32.6
15.2	32.7
16.1	33.7
16.9	33.7
17.9	34.1
18.7	34.5
19.6	34.9
20.3	35.1
21.4	35.7
22	36.1
23	35.8
23.8	36.7
24.6	36.2
25.4	36.8
26.4	37.2
27.2	37.3
27.9	37.5
28.7	37.7
29.7	37.8
30.5	37.7
31.2	38
32.3	37.8
33.3	37.1
34	38.1
34.8	38.1
35.8	37.5
36.6	37.9
37.3	37.8
38.1	37
37.3	30.5
36.6	27.9
35.8	25.3
35.6	24.2
34.8	21.9
34	20
33	17.3
32.3	15
31.5	13.4
29.7	9.03
27.9	5.83
27.2	4.63
26.4	2.98
25.3	1.56
24.6	-0.014
23.6	-1.56
23.2	-2.26
22.8	-3.53
22.3	-4.49
20.2	-6.27
19.4	-7.34
18.7	-8.59
17.8	-9.47
16.9	-10.6
16.1	-11.4
15.3	-12.3
14.5	-13.3
13.6	-13.7
12.9	-14.1
12	-15.1
11.4	-17.1
10.8	-17.9
10.2	-18.4
9.25	-19.5
7.59	-21
6.71	-21.9
5.82	-22.6
5.03	-23
4.01	-24.1
3.18	-24.2
2.53	-25.1
1.57	-26
0.808	-26.7
0.121	-27
-0.737	-27.9
-1.65	-28.3
-2.57	-29.2
-3.53	-30.1
-4.24	-30.5
-5.11	-30.8
-5.99	-31.7
-7.67	-32.8
-8.59	-32.5
-9.4	-33.2
-10.3	-34.4
-11.1	-35.1
-11.9	-35.5
-12.8	-35.9
-13.8	-36.5
-15.4	-36.8
-16.2	-37.2
-17.9	-38.2
-20.1	-38.5
-20.6	-38.6
-21.4	-39.2
-22.4	-39.5
-23.2	-39.5
-24.1	-39.9
-25	-40
-25.9	-39.6
-26.7	-40.1
-27.7	-40.1
-28.4	-39.8
-29.5	-39
-30.2	-39.3
-31.2	-37.1
-32	-37.5
-33	-36.1
-34	-35.8
-35.6	-35
-36.8	-34.4
-37.8	-34.1
-38.6	-32.5
-39.4	-32.4
-39.4	-30.2
-39.4	-28.5
-38.4	-24.5
-35.6	-20.3
-34.3	-16.5
-33	-13.8
-30.7	-8.63
-29	-6.32
-27.9	-2.66
-26.7	-0.332
-25.3	1.25
-24.1	2.76
-24.1	3.39
-22.7	5.74
-21.6	7.21
-20.3	8.36
-18.9	10.2
-17.8	11.7
-16.6	12.6
-15.4	13.7
-14.9	14.8
-12.8	16.1
-12.1	17
-10.2	18.4
-9.02	19.3
-7.65	20.2
-6.4	21.2
-5.18	21.7
-3.91	22.6
-3.86	22.7
-2.64	23.5
-1.44	24.1
-0.189	23.7
1.4	25.5
2.64	26.4
3.71	26.6
5.31	27.3
6.43	28
7.57	28.5
8.99	29
10.1	29.4
11.4	29.5
12.6	30
13.9	30.4
15.2	30.7
16.3	31.3
17.6	31.5
18.8	31.8
20.1	32.1
21.6	31.7
22.9	32.6
24.2	32.5
25.3	32.6
25.7	32.4
27.2	32.4
28.2	33
29.5	33
30.5	32.5
32	32.1
33.3	32.4
35.8	31
37.1	30.3
38.4	30.7
39.9	29.4
41.1	27.4
43.7	26.2
44.2	26.5
