"Aboutaha et al 1999, Test ORC3"	
4.9039148	88.31521792
4.91865654	88.1635856
4.89250184	88.07938496
4.89530021	88.02885568
4.90261621	87.89408128
4.89297738	87.843552
4.59821574	77.34951904
3.53348168	58.1974096
3.03937733	45.6651696
2.60859296	36.28284307
2.20164046	29.66299142
1.98543437	24.77811776
1.74503061	21.03865747
1.56851382	18.17511069
1.50572425	15.96849347
1.40536702	14.30089824
1.32300715	12.68383674
1.10385637	9.601310464
0.13508994	-5.1712448
-1.366263	-22.7399552
-3.0542471	-47.0295936
-4.4258142	-74.721952
-5.2762992	-89.224656
-5.2907483	-89.2584608
-5.3097699	-89.1405888
-5.311416	-88.988912
-5.3106844	-88.8541376
-5.3456183	-88.7362656
-5.3200123	-88.635296
-5.3083067	-88.5845888
-5.3276941	-88.4836192
-5.3209268	-88.4164544
-5.3137937	-88.3319424
-5.3066606	-88.2309728
-4.2882734	-62.7452672
-3.0827795	-40.91506144
-2.311856	-28.34915008
-1.8183918	-20.63440544
-1.4787465	-15.8842528
-1.2358553	-13.22283648
-1.1061792	-11.48789408
-0.9562012	-10.15718592
-0.8843215	-9.18018272
-0.8519482	-8.4558704
-0.7345264	-7.69788672
-0.6814854	-6.77145728
-0.515778	-4.86802464
0.01710115	2.543504288
1.1703771	21.39238912
1.9147801	36.24915392
2.01943548	36.46813341
2.99659702	53.85153568
3.8604703	71.10021248
3.88216224	71.1170704
4.56450727	81.44270208
4.7599725	84.64312704
4.74658422	84.40729408
5.1051048	90.40390976
5.10422688	90.1006896
5.09638047	89.9154304
5.0890096	89.74698464
5.09859356	89.61221024
5.1049219	89.4606224
5.08452855	89.35956384
5.09804486	89.25850528
5.10916518	89.20793152
5.10537915	89.10687296
5.08465658	89.10687296
5.08055962	88.97214304
4.24390186	69.29788288
3.48889066	52.8409056
2.9960849	41.4709191
2.54858347	33.2003168
2.19048356	27.30477747
1.92633938	22.9926105
1.8284513	19.64057101
1.64933733	17.06337757
1.56970267	15.1768073
1.48591618	13.61027507
1.39741087	12.09428102
1.1261153	7.276781216
-0.0872433	-8.22008192
-1.6435394	-26.58044736
-3.3563979	-51.627936
-3.778714	-58.1971872
-3.8752852	-61.2293888
-5.2572776	-88.197168
-5.5062045	-93.4022176
-5.5318105	-93.2505408
-5.5349198	-93.1664736
-5.5212023	-93.0316992
-5.5446135	-92.9138272
-5.5341882	-92.8800224
-5.5310789	-92.745248
-5.5230313	-92.6780832
-5.5250432	-92.5935712
-5.5468083	-92.509504
-5.5314447	-92.4254368
-5.1257725	-78.9835808
-3.6285531	-49.337216
-2.6588173	-33.31823328
-2.0404324	-23.700056
-1.6285416	-17.7034848
-1.3207209	-14.26722688
-1.1661704	-12.077432
-1.0359456	-10.61199392
-0.941935	-9.41601568
-0.8444493	-8.23689536
-0.6679508	-6.5861536
-0.2417938	-1.01067456
0.78111103	15.78320314
1.97259479	36.68710845
3.26496619	57.86051808
4.2668741	75.4460864
4.29341289	75.34502784
5.22067931	91.21242272
5.65371335	97.71437568
6.00200982	103.441487
6.15431065	105.7996832
6.60055007	112.9754192
6.59531913	112.4195526
6.58491212	112.0152739
6.58727153	111.6783824
6.58180282	111.5267946
6.55820872	111.3583488
6.58121754	111.206761
6.58028475	111.0551286
6.55473362	110.8530115
6.56212278	110.7688109
6.57075566	110.6845658
6.57558422	110.5835072
6.52031184	108.579016
6.52892643	108.5621581
6.53947976	108.5621581
6.55156945	108.5958739
5.71756374	88.24783072
4.52756147	66.48487872
3.69498238	51.84708896
3.29759555	42.04362579
2.89472172	34.4299575
2.48998231	28.73654864
2.15659219	24.42438166
1.99148836	21.10603578
1.75838231	18.51199776
1.7033477	16.45698173
1.5500775	14.68831904
1.52366674	13.17232054
1.41586548	11.08361536
0.49194613	-1.2296496
-0.9165119	-17.14761824
-2.5263977	-38.47262016
-4.0633064	-64.716176
-5.5032781	-92.627376
-6.3601646	-109.151696
-6.3994881	-109.033824
-6.6292105	-114.7441664
-6.6458544	-114.5084224
-6.6518901	-114.255776
-6.6365265	-114.0031296
-6.6619496	-113.9017152
-6.6570113	-113.7500384
-6.6518901	-113.6659712
-6.6577429	-113.5142944
-6.6453057	-113.3626176
-6.6487808	-113.261648
-6.6639615	-113.1775808
-6.6588403	-113.1606784
-6.2147591	-98.6575296
-4.4230707	-61.2124864
-3.3121361	-40.79714496
-2.5732201	-28.6186544
-2.0270807	-20.93758112
-1.6887157	-16.23800224
-1.4085129	-13.47552736
-1.2578033	-11.67315328
-1.1654388	-10.34244512
-1.0328363	-9.38234432
-0.9527261	-8.55697344
-0.8649341	-7.63049952
-0.7506216	-6.41770784
-0.4671266	-3.13303776
0.45178129	9.719218048
1.65899445	29.94934477
2.88795442	50.68482656
4.03909044	71.79085344
5.59247843	95.77727168
6.35292176	108.3937123
6.36362141	107.9220909
6.65340817	114.1208237
6.64817723	113.6660157
6.68451946	113.4133693
6.63877617	113.2449235
6.66518693	113.0428064
6.64964043	112.8911741
6.65723078	112.7732576
6.64064175	112.7059149
6.67224687	112.6048118
6.63659966	112.4700819
6.65093902	112.3690234
6.65962677	112.2847782
6.60236078	111.7120982
5.35463527	82.20068576
4.11857878	61.48207968
3.45119497	48.24238528
2.99988922	38.84318749
2.55846007	31.73485203
2.1790706	26.51308685
1.99948109	22.50412224
1.74664013	19.52265898
1.66737127	17.1139113
1.48381283	15.21049645
1.4514944	13.64396422
1.36458032	12.36378979
1.28737823	10.83095117
0.75067647	2.796172928
-0.6271641	-12.56591136
-2.2286365	-32.1728288
-3.8533372	-57.52376
-5.3225729	-85.4852224
-6.589887	-109.9265376
-6.7409624	-111.1897696
-6.7592524	-110.970928
-6.7378531	-110.8192512
-6.7237698	-110.650672
-6.7248672	-110.5328
-6.7301713	-110.414928
-6.7451691	-110.381568
-6.7292568	-110.2129888
-6.7486442	-110.179184
-6.7272449	-110.1289216
-6.7276107	-110.0444096
-6.7457178	-109.94344
-6.7268791	-109.8758304
-5.574792	-80.6004288
-4.0569049	-50.7018624
-3.1200911	-34.34572128
-2.5119486	-24.42436832
-2.037506	-18.14143488
-1.7075544	-14.62093184
-1.5005116	-12.41432352
-1.3704697	-10.96569888
-1.2519505	-9.78657856
-1.1736693	-8.99492352
-1.1155071	-8.3379984
-1.0802074	-7.83266112
-1.0233255	-7.39471104
-0.9609566	-7.12516224
-0.9331558	-6.85565792
-0.9154145	-6.70407008
-0.9080985	-6.48509504
-0.9091959	-6.23244864
-0.8764568	-6.16506144
-0.8554233	-5.91237056
-0.8439006	-5.54180768
-0.7465978	-4.73329472
-0.6101544	-2.59402912
0.00272521	5.592341408
1.12918802	24.23909578
2.40775047	45.05877376
3.47628885	65.28890048
4.96233306	88.71945216
6.3757111	112.8575027
7.40554784	132.1780134
7.42950774	131.4537011
7.58210121	134.3340925
7.72150759	135.4795414
7.71561821	134.9404883
7.70643663	134.5530675
7.69023169	134.216176
7.70522949	133.9635296
7.69767572	133.7445546
7.71016779	133.5929667
7.68909771	133.3908051
7.68871362	133.2560752
7.67340489	133.1213008
7.66420502	132.952855
7.66751551	132.8181251
7.68496417	132.7170666
6.75418607	109.0001082
5.22815992	81.40898624
4.13758209	61.59999616
3.37024343	48.88245248
2.85750157	39.71909654
2.5543814	32.76236227
2.23699503	27.37215578
1.94360514	23.24527469
1.8249762	20.02799181
1.60050303	17.60239955
1.52801976	15.66529555
1.45334169	14.13245248
1.34597939	12.78489974
1.31452059	11.6563265
1.2225036	10.22455088
0.67175512	2.762483776
-0.6593545	-12.077432
-2.2311971	-30.89264992
-3.8893685	-55.8224
-5.3084896	-83.5650208
-6.7528509	-110.853056
-7.793369	-131.0496448
-7.8767714	-131.2684864
-8.1770932	-136.8774144
-8.2101981	-136.473536
-8.2230011	-136.2208896
-8.2026992	-136.0016032
-8.2107468	-135.799664
-8.2127587	-135.6479872
-8.2065401	-135.479408
-8.2211721	-135.361536
-8.2043453	-135.2098592
-8.2347067	-135.0750848
-8.2248301	-135.00792
-8.2136732	-134.9572128
-8.1169191	-129.2637728
-5.8533487	-79.303392
-4.3607018	-50.9038016
-3.4313869	-34.90158784
-2.7294167	-24.91289216
-2.2747273	-18.54566912
-1.969833	-14.83990688
-1.7271247	-12.63329856
-1.6005579	-11.10047328
-1.5014261	-9.98874016
-1.4145486	-9.07912416
-1.3210867	-8.28742464
-1.2459148	-7.4283824
-1.0931933	-6.21559072
-0.7493413	-1.8697168
0.25181672	12.21219306
1.47638709	32.27387402
2.6888129	52.3187104
3.88079049	73.40792384
5.39231267	96.501584
6.67129579	120.0500522
7.58720412	135.1594634
7.58557631	134.452009
7.58246701	134.0309168
7.57112721	133.6940253
7.56884096	133.4581923
7.57787622	133.2392173
7.55461134	133.0371002
7.5504778	132.952855
7.56710341	132.7507379
7.54605162	132.6664928
7.54228388	132.5486208
7.5468198	132.4475178
7.548283	132.3127878
7.56904215	132.2285427
7.56628036	130.7293888
6.00751511	96.33313824
4.7010787	71.94244128
3.75094978	55.1654304
3.07882886	44.2165583
2.71558946	35.9796407
2.31077689	29.69668058
1.97594186	24.9297145
1.70815797	21.27448154
1.53314096	18.42777488
1.41504243	16.30538054
1.32084893	14.60409616
1.22200977	13.18916512
1.17785771	11.95952442
1.12371931	10.86464032
1.04774265	9.281267968
0.34679669	0.134756608
-1.0136318	-14.83990688
-2.6284559	-34.76685792
-4.2771165	-60.252608
-5.794272	-88.0454912
-7.1279788	-114.9799104
-8.15734	-133.8963648
