"Bayrak and Sheikh 1996, ES8-HT"	
0.069520591	-1.86092437
-0.021647845	-3.566386555
-0.111237365	-5.874789916
-0.256493631	-7.959243697
-0.377972261	-9.897268908
-0.391788217	-11.70609244
-0.581561534	-13.55798319
-0.624096527	-15.67689076
-0.781816466	-17.47710084
-0.900647227	-19.25147059
-0.974529431	-20.97415966
-1.039562498	-22.89495798
-1.15967671	-24.48844538
-1.223682935	-26.15084034
-1.318363828	-28.0802521
-1.417767777	-30.05273109
-1.555394511	-32.01659664
-1.581881824	-33.84264706
-1.68711483	-35.60840336
-1.781246664	-37.46890756
-1.896975416	-39.23466387
-1.962347685	-40.88844538
-2.051427981	-42.46470588
-2.1574675	-44.18739496
-2.260437305	-46.28046218
-2.325087891	-48.05483193
-2.427549424	-49.94117647
-2.527164332	-51.49159664
-2.642299511	-53.21428571
-2.664018185	-55.1092437
-2.731728376	-56.74579832
-2.851304057	-58.46848739
-2.950716229	-60.27731092
-3.121447504	-62.17226891
-3.165755366	-63.80882353
-3.333322559	-65.96218487
-3.349541643	-68.20168067
-3.38026692	-70.0105042
-3.540455218	-71.64705882
-3.574647735	-73.02521008
-3.716291277	-74.92016807
-3.783549151	-76.38445378
-3.661322718	-74.57563025
-3.555978214	-72.42226891
-3.518445996	-70.52731092
-3.503777945	-68.71848739
-3.470053315	-66.90966387
-3.317295508	-64.75630252
-3.30297555	-62.77521008
-3.203714567	-60.79411765
-3.115332227	-58.89915966
-3.027954475	-57.00420168
-3.004040588	-54.93697479
-2.897565584	-52.78361345
-2.779388897	-50.97478992
-2.778559132	-49.25210084
-2.658052729	-47.44327731
-2.556008137	-45.64306723
-2.482347901	-44.01512605
-2.343859223	-42.16323529
-2.313231305	-40.60420168
-2.268241095	-39.15714286
-2.244297861	-37.23634454
-2.111553477	-35.39306723
-1.988782261	-33.88571429
-1.963935639	-32.14579832
-1.877068071	-30.18193277
-1.787076439	-28.05441176
-1.705552492	-26.05609244
-1.530233595	-24.3592437
-1.528544282	-22.61071429
-1.48710262	-20.50903361
-1.341654542	-18.24369748
-1.260980971	-16.58991597
-1.220283286	-15.06533613
-1.134655015	-13.18760504
-1.020184462	-11.21512605
-0.970256111	-9.483823529
-0.889400218	-7.537184874
-0.725346393	-5.418277311
-0.653398271	-3.618067227
-0.60025867	-1.421638655
-0.551053607	0.30105042
-0.426621835	2.101260504
-0.32890288	3.522478992
-0.241463124	5.693067227
-0.113531113	7.631092437
-0.026914992	10.04285714
0.11200291	11.97226891
0.15708155	13.91890756
0.301320725	15.90689076
0.409504204	17.81218487
0.53053635	19.66407563
0.625437145	21.3169958
0.788972318	23.64176471
0.908791764	25.52294118
1.035557991	27.71764706
1.141873296	29.44894958
1.211576679	30.87878151
1.345534653	33.72121849
1.440585789	35.50420168
1.489547676	37.49390756
1.553541469	39.72478992
1.602119677	41.99012605
1.689302939	44.04012605
1.741342389	46.02983193
1.840716312	48.55357143
1.921921127	50.82752101
1.945015368	52.62773109
2.029540311	54.52268908
2.138513211	56.64159664
2.149868548	58.71743697
2.266587839	60.62962185
2.264096345	63.16197479
2.337260826	65.33256303
2.387843481	67.2447479
2.399621786	69.20861345
2.528611618	71.22415966
2.531416901	73.47226891
2.557213723	76.05630252
2.675199508	78.02878151
2.692106298	80.13046218
2.754468439	81.5947479
2.813120773	83.38634454
2.82726105	85.90147059
2.907114498	87.78781513
2.960675489	89.94117647
3.003691292	91.75
3.062868962	94.16176471
3.133766945	96.05672269
3.163757454	97.60714286
3.238804553	99.93277311
3.280632462	101.4831933
3.339385292	103.2920168
3.38083166	104.9285714
3.430214176	107.1680672
3.525077439	108.6323529
3.572748782	110.6134454
3.61121946	112.1638655
3.658741183	114.7478992
3.676645188	116.7289916
3.765154436	118.2794118
3.857087724	120.1743697
3.987577328	121.8970588
4.006635513	124.3088235
4.060415165	126.0315126
4.149196526	127.4096639
4.203370904	129.3046218
4.283581467	130.855042
4.390942788	132.8361345
4.384387521	134.4726891
4.470741412	136.9705882
4.603040698	138.7794118
4.67251199	141.1911765
4.817343409	142.3970588
4.864036517	144.7226891
4.93152021	146.8760504
5.09824971	149.0294118
5.206404853	151.0105042
5.283113191	152.8193277
5.408380803	154.4558824
5.482076611	156.4369748
5.618209811	157.7289916
5.684097418	159.9684874
5.751078296	161.1743697
