"Pujol 2002, No. 10-3-1.5N"	
20547	
2.534936854	-52.04084074
2.580009581	-52.06312479
2.580902892	-52.01855246
2.628171151	-52.06312479
2.568696271	-52.04084074
2.514491881	-51.5937134
2.591789737	-51.5937134
2.588766172	-51.61600168
2.577189194	-51.5937134
2.55849142	-51.5937134
2.506251932	-51.52685705
2.548682391	-51.54914108
2.595324358	-51.54914108
2.575028136	-51.52685705
2.577455256	-51.50456877
2.103415069	-58.32426514
2.095522901	-58.27968858
2.054875075	-58.25740455
2.057436902	-58.23511627
2.106885529	-58.27968858
1.516386226	-61.22152106
1.59480898	-61.13237218
1.518401882	-61.1769445
1.574756796	-61.1769445
1.549057293	-61.1769445
0.990564379	-64.54222038
0.895412185	-64.5199321
0.926331583	-64.5199321
0.921081762	-64.47535978
0.926976788	-64.49764807
0.865902103	-62.04612382
0.893897769	-62.11298442
0.891537125	-62.04612382
0.878869883	-62.06840787
0.847156049	-62.06840787
0.845623598	-61.95697494
0.910057737	-61.89011859
0.883231739	-61.97926322
0.902013544	-61.91240263
0.86437021	-61.93469091
0.871131175	-61.77868566
0.867396329	-61.823258
0.881569768	-61.77868566
0.867216533	-61.75639738
0.855209498	-61.77868566
-0.230029476	-71.3396285
-0.27623973	-71.29505194
-0.254686816	-71.31734022
-0.318274028	-71.27277213
-0.265107213	-71.25048385
-1.123058493	-76.44325453
-1.199050378	-76.42096625
-1.119309761	-76.42096625
-1.208397988	-76.37639816
-1.145041105	-76.37639816
-2.993411524	-88.43344179
-3.064630329	-88.43344179
-2.963765458	-88.41115351
-3.007135673	-88.36657695
-2.990767181	-88.34428867
-3.08554949	-85.31332003
-3.074266665	-85.29103175
-3.050945761	-85.29103175
-3.076383671	-85.29103175
-3.082972821	-85.31332003
-3.062263062	-84.24355892
-3.052698229	-84.22127064
-3.088573694	-84.22127064
-3.062525134	-84.24355892
-3.058529253	-84.19899083
-3.058324319	-84.02069308
-3.056771359	-83.97612501
-3.086850913	-84.04298136
-3.101169114	-83.97612501
-3.088846619	-84.02069308
-3.797088905	-94.31709827
-3.81127623	-94.33938655
-3.829064253	-94.31709827
-3.788381792	-94.29480999
-3.817119703	-94.29480999
-4.506604205	-99.37614774
-4.552504485	-99.39843603
-4.524903922	-99.37614774
-4.529889676	-99.33157966
-4.531674064	-99.33157966
-4.581550435	-96.3674589
-4.612023256	-96.34517911
-4.626838469	-96.32289083
-4.551029412	-96.3674589
-4.598957639	-96.32289083
-5.253449294	-100.8916405
-5.242349695	-100.8916405
-5.205287724	-100.8916405
-5.222102153	-100.9362086
-5.271700491	-100.8693523
-5.740850049	-103.0534341
-5.823844221	-103.0311543
-5.735892705	-103.0534341
-5.788367132	-103.0311543
-5.78532633	-103.0311543
-5.833052177	-99.93331234
-5.809498249	-99.88874426
-5.842199482	-99.88874426
-5.835828672	-99.93331234
-5.804278514	-99.88874426
-5.787261385	-99.66587841
-5.8373545	-99.64359013
-5.817747295	-99.62130187
-5.899392483	-99.64359013
-5.787440144	-99.59901359
-6.122571914	-96.03316014
-6.12825259	-96.03316014
-6.089686817	-96.01088036
-6.073566032	-96.01088036
-6.13885805	-95.98859207
-6.107125303	-95.92172723
-6.072243861	-95.92172723
-6.115583113	-95.92172723
-6.08768728	-95.94401551
-6.102964071	-95.92172723
-6.175797764	-95.23084991
-6.166003738	-95.2531297
-6.129846729	-95.18627335
-6.134653405	-95.20856163
-6.075822853	-95.2531297
-6.0749463	-95.18627335
-6.115907431	-95.18627335
-6.085831388	-95.20856163
-6.110457864	-95.23084991
-6.09627022	-95.20856163
-6.313242917	-100.5127652
-6.229155766	-100.4904769
-6.242022516	-100.5127652
-6.237201156	-100.5127652
-6.269456131	-100.4904769
-6.753394407	-102.6745673
-6.688729319	-102.652279
-6.671552585	-102.652279
-6.653848515	-102.652279
-6.684120553	-102.6299907
-7.141212561	-104.1009069
-7.129901006	-104.1231952
-7.085271504	-104.0786187
-7.094007666	-104.0563304
-7.114175405	-104.0340506
-7.18657944	-101.0699298
-7.136036877	-101.0699298
-7.154124638	-101.0922181
-7.171284773	-101.0253617
-7.165237643	-101.0699298
-7.411492186	-103.3877329
-7.417308846	-103.3877329
-7.440829575	-103.3877329
-7.393192469	-103.3877329
-7.39492706	-103.3654531
-7.914678873	-105.6386795
-7.874989478	-105.6163913
-7.885693255	-105.6163913
-7.862141243	-105.5718232
-7.88415402	-105.5495349
-7.946751899	-102.7191353
-7.999636831	-102.6745673
-7.97981767	-102.6745673
-7.928004648	-102.6968555
-7.900324602	-102.6968555
-8.194067499	-104.6580715
-8.162669923	-104.6803598
-8.195307952	-104.6803598
-8.19462931	-104.613495
-8.205580156	-104.6357833
-8.230760143	-101.6493827
-8.218063852	-101.671671
-8.200437031	-101.6493827
-8.244237862	-101.6493827
-8.261849361	-101.6939593
