"Saatcioglu and Ozcebe 1989, Spec. U1"	
-27.4	-16.68
-16.3	-4.577
-13.6	-2.642
-11.2	-1.187
-8.69	0.1255
-6.28	1.47
-3.84	2.618
-2.81	2.806
-0.57	3.911
2.57	5.778
5.05	7.286
7.61	8.91
10.2	10.53
12.8	12.37
15.3	14.4
17.8	16.42
20.3	18.57
22.8	20.82
25.3	23.12
27.8	25.52
30.3	28.15
32.7	30.77
35.2	33.8
37.6	36.92
40.1	40.22
42.6	43.45
45	46.6
47.7	49.3
50.3	50.95
52.8	53.1
55.5	55
55.5	55
66.2	62.52
68.7	63.92
71.2	65.22
73.7	66.5
76.3	67.75
78.7	69.17
81.4	69.07
83.9	69.55
84	64.9
82.9	51.15
80.3	39.05
77.9	32
75.3	27.3
72.8	23.15
70.3	19.55
67.8	16.55
65.4	14.02
62.9	11.47
60.5	9.248
58	7.163
55.5	5.411
53	3.913
50.3	2.591
47.8	1.278
45.3	0.1405
42.7	-0.942
40.2	-2.29
37.7	-3.58
35.2	-4.772
32.8	-5.89
32.8	-5.89
19	-13.73
16.3	-15.43
13.8	-16.75
11.3	-18.68
8.77	-20.45
6.34	-22.15
3.71	-23.3
1.28	-24.8
-1.14	-26.2
-3.64	-25.65
-6.11	-26.73
-8.51	-28.23
-11	-29.9
-13.5	-31.45
-15.9	-33.1
-18.5	-35.28
-21	-37.18
-23.6	-38.63
-26.2	-40.53
-28.9	-41.15
-31.5	-43.28
-34	-44.75
-36.5	-46.28
-39	-48.13
-41.5	-49.08
-44	-50.58
-46.7	-52.4
-49.2	-54.13
-51.7	-56.18
-54.3	-57.43
-54.3	-57.43
-58.3	-55.75
-58.4	-54.73
-57.5	-42.25
-55.4	-33.43
-53.1	-28.25
-50.8	-23.98
-48.5	-19.93
-45.7	-16.1
-43	-13.03
-40.5	-10.33
-38	-8.047
-35.4	-6.387
-32.8	-4.595
-30.2	-2.875
-27.7	-1.407
-25.1	-0.277
-22.4	0.818
-19.9	1.86
-17.3	3.113
-14.7	3.963
-12.3	5.198
-9.77	6.255
-7.32	7.221
-4.86	8.423
-2.51	9.745
0.15	10.7
2.63	12.05
5.07	13.17
7.57	14.6
10.1	15.65
10.1	15.65
21	21.1
23.6	22.15
26.1	22.97
28.5	24.62
31	25.67
33.5	26.75
36	27.95
38.4	29.17
41	30.42
43.5	31.67
46	32.72
48.6	34.02
51.1	35.1
53.7	36.45
56.3	37.42
58.7	38.67
61.3	39.67
63.7	40.75
66.1	42.12
68.5	43.2
70.9	44.22
73.6	45.52
75.9	46.85
78.6	47.85
81.3	48.82
83.7	49.75
81.4	37.67
78.8	32.2
76.2	28.32
73.7	24.85
73.7	24.85
60.1	10.9
57.5	9.108
55	7.388
52.4	5.788
49.9	4.496
47.3	3.341
44.8	2.216
42.2	0.9905
39.7	-0.1295
37.2	-1.015
34.7	-2.322
32.3	-3.267
29.8	-4.517
27.4	-5.644
24.9	-6.58
22.4	-7.794
19.8	-8.937
17.3	-10.08
14.8	-11.28
12.2	-12.5
9.72	-13.65
7.21	-14.6
4.67	-15.88
2.15	-17.13
-0.245	-18.35
-2.71	-19.5
-5.2	-20.53
-7.64	-22.1
-10.1	-23.33
-12.6	-24.73
-12.6	-24.73
-23.8	-30.28
-26.5	-31.55
-29.1	-32.93
-31.7	-34.55
-34.1	-35.9
-36.7	-37.2
-39.2	-38.05
-41.8	-39.65
-44.5	-40.15
-46.9	-41.75
-49.5	-43.1
-51.9	-45.03
-54.8	-45.43
-57.3	-46.53
-58.9	-42.73
-53.4	-27.2
-50.7	-22.88
-48.3	-19.13
-45.6	-16.08
-43	-13.65
-40.5	-11.23
-37.8	-8.835
-35.4	-6.942
-32.8	-5.189
-30.2	-3.629
-27.6	-2.205
-24.9	-1.172
-22.4	-0.107
-19.8	0.9705
-17.1	2.033
-17.1	2.033
-6.3	6.443
-3.79	7.55
-1.34	8.705
1.17	10.02
3.67	10.85
6.18	12.3
8.6	13.42
11.3	14.6
13.8	15.6
16.4	16.9
18.9	17.9
21.4	19.45
23.8	20.3
26.4	21.52
28.8	22.32
31.4	23.45
33.8	24.65
36.3	25.85
38.7	26.92
41.2	27.72
43.8	28.97
46.3	29.7
