"Atalay and Penzien, 1975, Spec. 5"	
10.229	1.8533
8.9878	0
6.7036	-3.1771
5.7602	-4.633
4.8664	-5.8247
3.3767	-8.0749
2.2842	-9.7958
1.0428	-11.781
-1.0428	-15.091
-1.887	-16.547
-2.8801	-18.268
-7.2001	-27.534
-8.8389	-30.579
-11.173	-35.345
-13.01	-38.919
-15.99	-44.742
-17.976	-48.185
-19.217	-50.169
-21.104	-53.082
-22.445	-55.467
-23.835	-57.45
-26.119	-60.364
-27.31	-61.689
-28.651	-62.481
-29.992	-63.411
-32.177	-64.865
-33.917	-66.32
-35.108	-67.249
-36.647	-68.308
-37.937	-68.971
-39.129	-69.762
-39.875	-70.158
-40.023	-70.292
-39.627	-65.79
-39.378	-62.881
-39.129	-59.572
-38.832	-56.392
-38.583	-52.687
-38.186	-50.302
-37.343	-46.993
-36.299	-43.42
-35.009	-39.581
-33.767	-36.801
-32.624	-33.889
-31.384	-31.374
-29.893	-28.196
-28.951	-26.475
-27.658	-24.093
-26.665	-22.107
-24.431	-18.4
-23.09	-15.62
-20.657	-11.649
-18.82	-8.6047
-16.834	-6.0893
-13.159	-1.5885
-10.577	1.7209
-8.8389	4.2361
-6.1575	7.9428
-4.7671	10.061
-2.8303	12.708
0.099314	16.018
1.5394	18.003
4.5684	22.637
6.3561	25.946
12.166	36.272
13.656	39.184
15.344	42.096
17.082	44.613
18.621	46.731
20.359	48.714
21.65	50.436
23.438	52.82
25.822	55.6
27.211	57.321
28.999	59.043
31.135	61.027
32.327	62.085
35.504	64.732
37.043	65.661
38.583	66.72
39.279	67.378
38.435	59.834
38.186	58.38
37.64	55.2
36.845	50.965
36.101	47.789
35.357	44.742
34.163	40.11
33.122	37.066
32.327	35.345
30.637	31.374
29.596	29.255
27.808	26.079
24.878	21.578
23.289	19.062
21.353	16.15
19.565	13.767
18.572	12.444
17.181	10.855
15.99	9.5312
14.401	7.8102
12.514	5.2949
11.222	3.7066
9.6335	1.4561
7.8953	-1.1914
6.6043	-3.0447
5.4125	-4.8981
4.0221	-6.8837
2.4828	-9.2665
0.39726	-12.444
-0.79451	-14.164
-3.0289	-18.136
-5.2139	-25.02
-6.5547	-27.667
-7.4981	-29.388
-9.1369	-32.3
-10.18	-34.154
-11.57	-36.669
-13.159	-39.184
-14.897	-42.096
-16.834	-45.405
-17.777	-46.86
-20.856	-51.628
-21.849	-52.949
-23.239	-54.541
-24.282	-55.6
-25.524	-57.321
-26.764	-58.642
-27.709	-59.834
-28.849	-61.027
-29.992	-62.219
-31.135	-63.277
-32.525	-64.336
-36.149	-67.249
-37.391	-68.174
-38.435	-69.1
-39.924	-70.688
-40.668	-71.088
-41.016	-71.221
-39.975	-69.233
-39.228	-67.116
-38.484	-64.732
-37.838	-62.219
-37.292	-59.834
-36.548	-57.188
-35.801	-54.408
-35.057	-51.628
-34.511	-49.244
-33.815	-46.068
-32.972	-42.493
-32.426	-39.846
-31.681	-36.669
-30.737	-32.962
-29.098	-28.991
-28.354	-27.27
-27.262	-25.02
-25.474	-21.313
-23.984	-18.533
-21.948	-14.959
-20.012	-11.914
-17.628	-8.34
-15.294	-5.9572
-13.109	-3.5742
-11.818	-1.1914
-9.5341	2.3828
-7.3492	5.0302
