"Atalay and Penzien, 1975, Spec. 10"	
37.198	39.503
36.429	34.581
35.852	31.732
35.133	29.012
34.602	27.458
33.546	24.738
31.72	20.723
29.893	17.355
25.664	10.75
23.79	8.03
21.771	4.9217
19.657	1.2952
18.119	-1.2952
15.427	-5.9577
14.082	-8.2893
12.448	-9.8434
10.718	-12.045
8.9873	-14.118
6.9687	-17.096
5.575	-18.909
4.2294	-20.463
2.2108	-23.443
1.1054	-25.126
-0.096121	-27.069
-1.2976	-28.753
-2.7394	-30.825
-4.3734	-33.027
-5.7673	-34.84
-8.2664	-38.078
-9.6121	-39.632
-10.766	-40.927
-12.111	-42.223
-14.514	-45.85
-18.695	-48.697
-21.195	-50.254
-22.925	-50.64
-24.895	-51.806
-26.962	-52.842
-28.019	-53.363
-30.711	-54.266
-32.586	-54.657
-34.171	-54.786
-35.179	-54.786
-36.67	-54.915
-37.44	-55.044
-38.593	-55.302
-38.928	-55.302
-38.88	-49.604
-38.641	-45.979
-38.448	-40.28
-37.92	-36.783
-37.102	-34.063
-35.613	-30.696
-34.267	-27.328
-32.441	-23.572
-30.711	-20.982
-29.51	-19.169
-27.539	-15.672
-25.471	-12.693
-23.742	-9.8434
-21.627	-6.4758
-18.888	-3.1084
-18.359	-2.4608
-15.86	0.90664
-13.841	3.497
-12.111	5.5693
-9.2276	9.0664
-6.3439	13.599
-2.8357	18.78
-0.67285	21.629
0.8651	23.702
1.9705	25.256
4.8059	28.623
7.5936	31.602
9.3718	33.545
10.525	34.71
13.265	37.301
17.302	40.927
18.888	42.223
21.243	44.036
23.117	44.943
25.905	45.85
28.115	46.624
31.095	47.531
33.642	48.697
35.179	49.475
37.775	50.254
40.035	50.769
41.572	50.769
43.927	50.511
46.139	49.217
47.196	48.439
48.252	47.144
49.406	45.979
49.647	45.459
49.406	42.223
48.781	38.467
47.434	32.897
45.608	26.68
43.83	20.723
41.765	15.672
39.362	11.138
36.429	6.3464
34.315	3.6265
30.95	-0.90664
26.962	-6.217
23.598	-10.879
17.157	-18.65
14.466	-21.5
9.4198	-26.422
6.5362	-29.142
3.2682	-31.732
1.0573	-33.545
-1.4899	-35.876
-3.6045	-37.689
-7.3053	-40.669
-9.1796	-42.093
-11.102	-43.647
-13.169	-45.072
-15.523	-46.495
-17.879	-47.923
-19.513	-48.568
-21.483	-49.088
-23.886	-49.733
-25.809	-50.254
-29.172	-51.027
-32.009	-51.548
-33.353	-51.935
-35.997	-52.713
-37.727	-52.971
-39.649	-52.971
-41.62	-52.971
-43.495	-52.455
-45.514	-51.29
-47.869	-49.475
-49.55	-47.66
-50.51	-45.33
-50.462	-42.74
-50.03	-39.244
-49.215	-34.97
-47.483	-30.436
-44.745	-22.536
-43.063	-17.615
-41.14	-13.47
-38.448	-8.807
-36.67	-6.217
-35.037	-3.8855
-32.824	-0.51806
-30.518	2.5903
-26.241	8.1594
-24.751	11.138
-22.925	12.822
-21.243	14.247
-18.936	16.319
-13.841	20.334
-10.814	22.925
-6.7765	26.292
-3.0277	29.012
1.2976	31.473
3.6045	32.768
7.161	34.71
10.477	36.912
13.697	39.891
15.379	41.057
16.581	41.963
18.599	42.87
21.339	44.295
23.934	45.072
26.817	45.85
29.797	46.495
33.307	47.144
35.804	47.531
38.928	47.531
40.564	47.273
42.822	47.015
44.359	46.624
45.753	46.108
47.147	44.685
47.531	44.036
48.059	43.129
48.301	41.704
48.397	40.409
48.494	38.726
48.494	36.135
48.252	32.379
48.011	29.919
47.579	26.68
47.341	24.349
47.147	22.536
46.571	19.557
45.466	16.578
42.101	10.491
40.706	8.5482
39.121	6.7347
37.63	4.7923
35.949	2.3313
34.554	0.25903
32.441	-2.3313
31.095	-4.015
29.124	-6.217
27.683	-8.1594
25.954	-10.361
21.483	-16.06
18.936	-18.909
15.812	-21.888
13.553	-23.96
9.9484	-27.199
7.6416	-29.012
5.8153	-30.436
3.3642	-32.25
1.3457	-33.674
-0.52868	-34.97
-3.0759	-36.394
-5.2868	-37.56
-8.1702	-38.855
-10.141	-39.762
-11.919	-40.409
-14.61	-41.446
-15.908	-41.963
-17.398	-42.352
