Galeota 1996 Specimen BB4	
39.69	143.736
39.46	142.247
39.26	139.851
38.95	137.521
38.81	136.096
38.49	133.765
38.36	132.341
38.13	130.722
37.93	128.974
37.7	127.614
37.48	125.802
37.27	123.6
37.05	121.917
36.85	120.233
36.62	118.679
36.41	116.543
36.19	114.924
35.98	113.629
35.76	111.493
35.54	110.327
35.34	107.867
35.11	106.378
34.9	104.824
34.68	103.399
34.46	101.457
34.24	99.903
34.02	98.349
33.81	96.536
33.59	94.529
33.39	92.781
33.15	90.903
32.86	89.738
32.73	87.731
32.51	86.112
32.3	84.688
32.08	82.94
31.87	81.127
31.64	79.573
31.44	78.148
31.22	76.271
31.01	74.911
30.79	72.969
30.58	71.544
30.36	70.185
30.14	68.501
29.94	66.883
29.72	65.199
29.51	63.581
29.17	61.379
28.97	59.761
28.76	58.336
28.54	57.106
28.33	55.228
28.12	53.869
27.92	52.444
27.7	50.89
27.38	48.818
27.17	47.135
26.95	45.646
26.63	43.833
26.33	41.632
26.12	40.078
25.82	38.265
25.62	37.035
25.42	35.481
25.1	33.538
24.82	31.726
24.52	29.524
24.22	28.1
23.94	26.157
23.66	24.15
23.39	22.855
23.1	21.431
22.93	20.007
22.62	18.258
22.36	17.093
22.11	15.345
21.86	14.05
21.61	12.431
21.32	10.942
21	9.518
20.74	8.029
20.45	6.863
20.14	5.18
19.84	3.755
19.54	2.655
19.13	1.165
18.86	-0.647
18.49	-1.554
18.15	-3.237
17.84	-4.856
17.53	-6.863
17.18	-8.676
16.58	-9.323
16.3	-10.877
15.93	-12.561
15.56	-14.309
15.26	-15.733
14.99	-17.093
14.71	-18.388
14.42	-19.942
14.14	-21.172
13.95	-22.855
13.55	-24.539
13.26	-25.898
12.69	-27.258
12.4	-29.2
12.1	-30.754
11.69	-32.826
11.4	-34.056
11.09	-35.805
10.68	-37.488
10.3	-38.589
9.8	-40.143
9.51	-41.632
9.2	-42.991
8.79	-44.739
8.49	-46.034
8.18	-47.653
7.78	-49.336
7.36	-50.696
6.77	-52.185
6.48	-53.351
6.17	-54.71
5.76	-56.07
5.45	-57.365
5.03	-59.113
4.45	-60.084
4.13	-61.573
3.83	-62.933
3.52	-64.293
3.1	-66.17
2.68	-67.595
2.26	-69.149
1.83	-71.026
1.23	-71.544
0.92	-72.645
0.61	-74.264
0.29	-75.494
-0.14	-76.853
-0.46	-78.343
-0.89	-80.156
-1.32	-81.709
-1.84	-81.968
-2.25	-83.781
-2.57	-84.882
-3	-86.824
-3.42	-88.378
-3.86	-89.997
-4.28	-91.486
-4.78	-92.069
-5.1	-93.493
-5.53	-95.047
-5.96	-96.731
-6.38	-97.961
-6.71	-99.256
-7.15	-100.81
-7.65	-101.263
-8.07	-102.946
-8.4	-104.047
-8.72	-105.406
-9.15	-107.025
-9.58	-108.709
-10.13	-110.327
-10.66	-110.716
-10.98	-111.881
-11.41	-113.435
-11.85	-114.989
-12.29	-116.349
-12.74	-117.773
-13.2	-119.327
-13.71	-119.327
-14.04	-120.751
-14.49	-122.241
-14.93	-123.6
-15.38	-124.895
-15.83	-126.19
-16.35	-126.19
-16.79	-127.55
-17.25	-129.298
-17.7	-130.657
-18.27	-132.276
-18.8	-131.952
-19.35	-133.571
-19.82	-135.06
-20.39	-136.42
-20.98	-137.974
-21.5	-137.326
-22.07	-139.074
-22.64	-140.693
-23.23	-141.794
-23.82	-143.024
-24.34	-142.571
-24.92	-144.189
-25.51	-145.484
-26.1	-146.585
-26.71	-147.362
-27.24	-147.103
-27.81	-148.398
-28.4	-149.304
-29.01	-150.211
-29.53	-149.887
-30.14	-150.858
-30.75	-151.959
-31.35	-152.801
-31.89	-152.153
-32.49	-153.254
-32.97	-153.901
-33.57	-154.419
-34.13	-153.707
-34.74	-154.678
-35.24	-155.067
-35.73	-155.52
-36.25	-155.973
-36.78	-155.196
-37.28	-155.714
-37.89	-156.362
-38.42	-156.75
-38.98	-155.52
-39.57	-156.103
-40.08	-156.556
-40.59	-156.167
-41.1	-156.426
-41.66	-154.678
-42.12	-154.549
-42.58	-155.261
-43.11	-155.067
-43.61	-155.261
-44.12	-153.319
-44.16	-152.153
-44.22	-150.664
-44.55	-152.153
-44.6	-150.211
-44.35	-148.204
-44.11	-146.197
-43.88	-144.384
-43.66	-142.571
-43.43	-140.693
-43.21	-139.592
-42.99	-137.585
-42.77	-136.226
-42.55	-134.672
-42.35	-133.506
-42.15	-131.823
-41.95	-130.269
-41.73	-128.974
-41.54	-127.42
-41.33	-126.06
-41.03	-124.183
-40.82	-122.953
-40.64	-121.205
-40.44	-119.845
-40.13	-117.773
-39.82	-116.025
-39.65	-114.341
-39.35	-112.529
-39.13	-111.039
-38.85	-109.032
-38.63	-107.867
-38.34	-105.795
-38.13	-104.5
-37.94	-103.205
-37.75	-101.91
-37.54	-100.551
-37.25	-98.349
-36.95	-96.731
-36.75	-95.241
-36.43	-93.623
-36.25	-92.328
-35.95	-90.191
-35.74	-88.961
-35.44	-87.019
-35.14	-85.335
-34.94	-83.717
-34.64	-82.098
-34.45	-80.674
-34.14	-79.12
-33.93	-77.695
-33.63	-76.141
-33.44	-74.717
-33.14	-73.098
-32.93	-71.803
-32.63	-69.926
-32.31	-68.501
-32.02	-66.818
-31.71	-65.07
-31.38	-63.84
-31.08	-61.962
-30.78	-60.667
-30.57	-59.307
-30.25	-57.753
-29.94	-56.264
-29.62	-54.646
-29.32	-53.156
-29.12	-51.667
-28.82	-50.113
-28.51	-48.56
-28.21	-46.682
-27.9	-45.193
-27.7	-43.833
-27.39	-42.15
-27.18	-40.79
-26.87	-39.236
-26.55	-37.423
-26.24	-35.416
-25.93	-33.927
-25.61	-32.114
-25.3	-30.301
-24.98	-28.941
-24.78	-27.647
-24.47	-25.898
-24.15	-24.15
-23.84	-22.791
-23.52	-21.301
-23.2	-19.553
-22.88	-17.999
-22.57	-16.575
-22.27	-14.762
-21.95	-13.338
