"""Thompson and Wallace, 1994, C2"""	
-22.15642	-37.10083207
-26.93416	-36.69337503
-29.68244	-32.53962626
-26.8732	-10.03207282
-23.79472	1.452344157
-20.0406	9.543213333
-16.22044	13.88734596
-11.39952	16.03227813
-6.67004	18.39428348
-1.71958	21.32655076
3.26136	27.897018
7.90194	33.24555893
11.77544	35.79750332
15.2654	37.37217355
18.92808	38.43129497
22.61108	38.51269742
26.34488	37.48071015
28.53944	37.04656378
29.29636	32.21357166
28.0035	19.99608786
26.40584	11.76954794
24.65832	5.769342637
22.3393	-0.610740743
18.0848	-7.914274803
13.05814	-12.0684684
8.26516	-15.027425
3.47726	-16.92814984
0.03048	-20.1860269
-0.16002	-20.1317586
-0.17526	-19.77901468
-2.7432	-24.47589123
-8.86714	-30.63890143
-15.15618	-34.27710138
-20.9169	-35.36335695
-26.2255	-35.41762525
-31.27756	-35.0644365
-35.11296	-34.19569894
-37.2999	-33.48976626
-38.88232	-33.27269308
-40.18026	-32.64816285
-38.87978	-17.11808887
-36.90874	-6.176799681
-34.21634	4.38461144
-31.13786	11.6881455
-27.12212	17.52554592
-22.43836	20.56634979
-17.8308	21.67929469
-11.47572	22.7926844
-5.21716	23.68855611
1.0033	27.48956096
7.03834	32.43108967
12.70762	35.52616184
17.29994	36.82904577
21.07946	36.93802718
24.39162	36.58483844
27.66822	35.93317406
30.93466	35.03730235
33.44926	34.27710138
35.72764	33.62543701
37.28974	32.75669944
38.61308	32.40395552
39.91864	31.15489506
39.46652	23.52575122
38.35654	13.99588255
36.19754	4.357477292
33.4518	-4.140404107
30.32506	-10.05920697
26.05278	-15.19067472
21.06168	-17.87828984
16.12138	-18.88314297
11.28776	-19.26302104
6.53796	-20.4035449
1.87198	-22.5208981
0.01016	-23.71569026
-0.0254	-23.36294634
0.07874	-22.00534929
