Saatcioglu et al. Column BG-9	
-17.50909	-144.7657751
-18.00868	-145.2662006
-18.50828	-147.6960486
-19.00787	-150.6427356
-19.50747	-150.9018845
-20.00706	-153.7107599
-20.50666	-156.9331307
-21.00625	-157.3300912
-21.50585	-161.103769
-22.00544	-164.4294225
-22.50504	-165.2743465
-23.00463	-165.6368997
-23.50423	-168.5491185
-24.00382	-170.9789666
-24.50342	-173.6500304
-25.00302	-174.3916109
-25.50261	-176.6491793
-26.0022	-177.0806079
-26.51903	-179.5503343
-27.0014	-181.940304
-27.50099	-182.1995137
-28.00059	-184.0091793
-28.50018	-185.6120365
-29.017	-187.4615198
-29.5166	-186.8937994
-30.01619	-191.3909422
-30.51579	-191.7534954
-31.01538	-192.184924
-31.51498	-194.2012766
-32.01458	-195.0117325
-32.51417	-196.6835866
-33.01376	-197.1494833
-33.51336	-197.2018845
-32.99654	-156.1768997
-32.49694	-154.1605471
-31.99734	-146.5280243
-31.49775	-143.3056535
-30.99816	-140.9792097
-30.49856	-137.2055927
-29.99897	-132.6395745
-29.49937	-131.4156231
-28.99977	-125.6091793
-28.48295	-121.6235258
-27.98336	-116.4716717
-27.48376	-115.4545289
-26.98417	-110.5438906
-26.48457	-106.1500912
-25.98498	-101.5151368
-25.48538	-100.5324012
-24.98579	-96.27641337
-24.48619	-91.15908815
-23.9866	-87.04091185
-23.487	-85.98924012
-22.98741	-82.14674772
-22.48781	-77.47726444
-21.98822	-73.1868693
-21.48862	-68.79306991
-20.9718	-67.11586626
-20.48943	-62.17610942
-19.98984	-60.91775076
-19.49024	-57.35085714
-18.99065	-53.74951368
-18.49105	-50.52717933
-17.99146	-50.13017021
-17.49186	-46.5977386
-16.99227	-42.41065653
-16.49267	-38.91266869
-15.99307	-33.93312462
-15.49348	-33.1571003
-14.99388	-30.03812766
-14.49429	-26.64351368
-13.99469	-24.1447234
-13.4951	-21.57702736
-12.9955	-19.28497872
-12.49591	-14.58106383
-11.99631	-10.70407295
-11.49672	-6.620352584
-10.99712	-5.77541155
-10.49753	-1.27822614
-9.997932	-0.123189362
-9.498337	5.476561702
-8.998742	6.976151976
-8.499146	11.40442553
-7.999552	12.80065653
-7.499957	16.88438298
-6.983134	17.94142857
-6.483539	20.50912462
-5.983944	23.11128267
-5.484349	26.74709422
-4.984754	30.62409119
-4.485158	33.91534954
-3.985563	37.44779939
-3.485968	38.39610334
-2.986373	41.92855927
-2.486778	42.56675988
-1.987183	45.72020669
-1.487588	50.1484924
-0.9879924	53.33638298
-0.4883973	55.21497872
0.01119782	58.09278419
0.510793	58.83435866
1.010388	63.36601824
1.509983	65.17568389
2.009578	69.25945289
2.509173	70.75902736
3.025996	74.33130699
3.508364	75.54984802
4.025187	80.22474164
4.507554	81.54668693
5.007149	82.66723404
5.506744	87.47452888
6.00634	88.49173252
6.505935	89.47452888
7.022757	93.32243161
7.505125	94.09306991
8.004721	97.97009119
8.504315	98.74613982
9.003911	102.5886322
9.503506	103.674772
10.0031	106.5525836
10.51992	109.0911854
11.00229	111.6879635
11.50189	112.4640122
12.00148	116.478845
12.50108	117.8406079
13.00067	120.8561702
13.50027	121.7355623
14.01709	123.5851064
14.51668	128.2200608
15.01628	128.7549544
15.51587	131.322614
16.01547	134.7516717
16.51506	136.0100912
17.01466	138.7156231
17.51426	139.9739818
18.01385	141.9903951
18.51344	144.2824316
19.01304	146.1610334
19.51264	149.2110638
20.02946	150.0958663
20.51183	152.6581763
