"Xiao 98,Specimen nr. HC4-8L19-T10-0.2P"	
18.479643	40.2544
14.658213	-2.35744
9.5946595	-45.76992
5.08254	-86.2912
0.884047	-134.17392
-1.660398	-163.64192
-4.534408	-193.10992
-7.626985	-218.64144
-11.394567	-244.15072
-14.997176	-266.25728
-18.764758	-285.98416
-22.396069	-301.26304
-25.998805	-309.93664
-29.493845	-312.29408
-29.687139	-310.71504
-28.707969	-269.14848
-27.747849	-236.01088
-26.819479	-206.00912
-25.631267	-170.22496
-24.43353	-136.82048
-23.226268	-107.864
-21.771864	-76.30544
-20.282535	-49.19488
-17.994757	-14.456
-14.534642	27.08832
-10.298176	66.29744
-6.413373	97.34448
-2.86131	128.12464
0.576707	161.28448
4.0305355	196.53488
7.420991	229.69472
10.6815255	259.16272
14.57579	289.14224
17.963134	305.4664
21.391626	323.34736
25.168606	336.51344
28.774517	343.07424
29.969079	342.02896
29.291026	305.97792
28.720669	283.62672
27.605355	244.95136
26.531189	209.43408
25.469596	176.54112
24.167338	141.29072
22.567138	103.66064
20.574	67.6096
17.07896	17.88096
13.172059	-16.5688
8.2924015	-57.86848
4.556506	-94.45328
0.9918065	-133.6624
-2.259203	-166.0216
-5.827141	-195.22272
-10.101707	-223.37856
-14.56944	-248.37632
-18.222976	-265.9904
-21.999956	-282.04768
-27.123644	-295.99216
-29.740987	-295.99216
-29.069157	-259.16272
-28.090114	-226.00288
-27.123644	-194.42208
-25.938607	-158.1264
-24.705945	-125.23344
-23.520908	-95.23168
-20.61845	-36.56256
-17.361027	12.09856
-13.463651	55.51104
-10.313924	84.71216
-7.094601	112.33424
8.336661	242.3048
11.7525165	267.56944
15.317216	290.72128
19.04365	308.86912
22.944201	322.8136
26.737056	333.08848
30.555311	340.7168
34.335466	335.44592
38.628955	339.9384
39.351458	340.18304
39.839519	337.55872
39.006018	293.61248
37.925502	254.67024
37.10813	228.89408
36.284154	202.85104
35.406457	176.54112
34.484437	151.81024
32.909637	112.33424
31.09087	75.5048
29.10713	42.87872
25.887807	11.83168
22.158452	-21.03904
16.632301	-58.66912
11.0458885	-93.408
6.286627	-128.6584
2.4557355	-158.63792
-2.404999	-190.4856
-7.516114	-216.52864
