"Paultre, Legeron, Mongequ, July-August 2001 test 1005540"	
3735	
13.27	17.89
12.78	16.08
12.4	14.29
12.05	12.45
11.69	10.67
11.18	8.87
10.82	7.07
10.51	5.25
10.06	3.53
9.64	1.77
9.26	-0.03
8.9	-1.85
8.45	-3.64
8.08	-5.44
7.79	-7.24
7.27	-9.06
6.89	-10.86
6.54	-12.66
6.2	-14.47
5.76	-16.27
5.29	-18.08
4.84	-19.87
4.42	-21.68
4.11	-23.49
3.73	-25.29
3.28	-27.1
2.92	-28.9
2.54	-30.7
2.12	-32.51
1.61	-34.32
1.3	-36.12
0.8	-37.92
0.36	-39.73
-0.09	-41.51
-0.51	-43.32
-0.94	-45.12
-1.36	-46.92
-1.72	-48.73
-2.09	-50.51
-2.65	-52.31
-3.05	-54.12
-3.5	-55.93
-3.86	-57.72
-4.28	-59.51
-4.79	-61.3
-5.17	-63.09
-5.66	-64.88
-6.11	-66.68
-6.42	-68.48
-6.89	-70.26
-7.43	-72.06
-7.78	-73.82
-8.21	-75.6
-8.76	-77.38
-9.23	-79.18
-9.7	-80.94
-10.1	-82.72
-10.57	-84.49
-11.11	-86.26
-11.57	-88.04
-12.04	-89.81
-12.53	-91.58
-13.05	-93.34
-13.38	-95.11
-13.89	-96.86
-14.43	-98.63
-14.96	-100.38
-15.45	-102.16
-15.83	-103.89
-16.46	-105.64
-16.9	-107.38
-17.46	-109.13
-17.89	-110.87
-18.42	-112.62
-19.02	-114.36
-19.45	-116.09
-20.09	-117.82
-20.54	-119.54
-21.1	-121.26
-21.74	-122.98
-22.37	-124.7
-22.86	-126.42
-23.42	-128.12
-24.13	-129.84
-24.71	-131.54
-25.38	-133.24
-25.98	-134.93
-26.54	-136.62
-27.39	-138.31
-27.9	-139.99
-28.7	-141.67
-29.26	-143.35
-30	-145.03
-30.73	-146.69
-31.42	-148.35
-32.16	-150.01
-32.92	-151.64
-33.76	-153.31
-34.5	-154.95
-35.1	-156.57
-35.95	-158.2
-36.89	-159.81
-37.76	-161.43
-38.63	-163.02
-39.45	-164.63
-40.43	-166.2
-41.37	-167.74
-42.4	-169.29
-43.4	-170.84
-44.38	-172.34
-45.5	-173.81
-46.79	-175.26
-47.99	-176.67
-49.35	-177.91
-49.42	-178.05
-49.73	-175.92
-49.78	-173.92
-49.51	-172.04
-49.18	-170.23
-48.62	-168.45
-48.35	-166.66
-47.84	-164.88
-47.48	-163.09
-47.12	-161.32
-46.45	-159.52
-46.19	-157.74
-45.58	-155.97
-45.05	-154.21
-44.63	-152.41
-44.2	-150.66
-43.87	-148.88
-43.22	-147.1
-42.93	-145.32
-42.35	-143.54
-41.97	-141.76
-41.48	-139.99
-41.08	-138.21
-40.48	-136.42
-39.99	-134.67
-39.65	-132.91
-39.18	-131.13
-38.65	-129.39
-38.2	-127.62
-37.69	-125.85
-37.09	-124.08
-36.64	-122.32
-36.13	-120.54
-35.75	-118.8
-35.3	-117.03
-34.75	-115.26
-34.26	-113.49
-33.85	-111.73
-33.36	-109.95
-32.78	-108.18
-32.43	-106.41
-31.96	-104.64
-31.42	-102.87
-31	-101.08
-30.55	-99.31
-29.97	-97.54
-29.57	-95.76
-29.17	-93.98
-28.59	-92.2
-28.14	-90.43
-27.77	-88.65
-27.3	-86.87
-26.83	-85.1
