Galeota 1996 Specimen CA3	
2128	
-35.26	-70.43335
-35.09	-69.1973
-34.86	-68.02745
-34.65	-66.7914
-34.46	-65.59945
-34.23	-64.1427
-33.99	-63.03905
-33.84	-61.91335
-33.63	-60.7656
-33.4	-59.6399
-33.23	-58.5142
-32.95	-57.0795
-32.76	-55.9317
-32.51	-54.5853
-32.24	-53.3051
-31.96	-52.0911
-31.68	-50.7888
-31.43	-49.35411
-31.15	-47.98561
-30.9	-46.57298
-30.59	-45.13826
-30.44	-44.01257
-30.16	-42.57785
-29.9	-41.14314
-29.64	-39.68636
-29.35	-38.362
-29.08	-36.92729
-28.86	-35.53672
-28.67	-34.4331
-28.42	-33.04253
-28.12	-31.65196
-27.88	-30.28347
-27.62	-28.91497
-27.35	-27.54648
-27.1	-26.17798
-26.79	-24.80949
-26.55	-23.46307
-26.28	-22.18287
-26	-20.83644
-25.75	-19.60038
-25.49	-18.34225
-25.2	-17.06204
-24.91	-15.91427
-24.65	-14.70028
-24.39	-13.59666
-23.86	-13.30972
-23.5	-12.02951
-23.09	-10.81553
-22.61	-9.64568
-22.1	-8.431695
-21.55	-7.26185
-21.01	-6.1803
-20.46	-5.187035
-19.93	-4.14963
-19.4	-3.17844
-18.83	-2.361758
-18.3	-1.567147
-17.77	-0.70632
-17.26	0
-16.75	0.2869425
-16.3	1.41264
-15.77	2.03067
-15.24	2.935642
-14.61	3.928905
-14.11	4.657298
-13.61	5.341545
-13.08	6.047865
-12.58	6.73211
-12.01	7.460505
-11.43	8.343405
-10.92	9.115945
-10.38	9.866405
-9.78	10.72723
-9.27	11.52184
-8.72	12.49304
-8.18	13.33179
-7.65	14.19261
-7.17	15.29624
-6.61	16.135
-6.11	17.34899
-5.66	18.5409
-5.12	19.68867
-4.73	20.96888
-4.22	22.20494
-3.75	23.44099
-3.28	24.7212
-2.84	26.02348
-2.45	27.30368
-2.04	28.6501
-1.65	29.88617
-1.24	31.25466
-0.92	32.44658
-0.52	33.74885
-0.2	34.85248
0.1	35.97818
0.51	37.3246
0.87	38.53859
1.23	39.81879
1.56	40.98863
1.92	42.26883
2.31	43.61526
2.68	44.89547
3.07	46.1536
3.47	47.38966
3.85	48.66986
4.25	49.81763
4.64	51.00955
5.03	52.11315
5.53	53.50375
6.05	54.76185
6.55	56.0862
7.06	57.1457
7.57	58.24935
8.09	59.37505
8.59	60.39035
