"Pujol 2002, No. 10-3-1.5S"	
16.19062905	36.90157478
16.31371547	36.90157478
16.22403893	36.90157478
16.32597571	36.90157478
16.21912692	36.8792865
16.1997189	38.21648152
16.28708307	38.2387698
16.17067199	38.21648152
16.29010408	38.2387698
16.20328895	38.2387698
15.83970273	32.57797705
15.9550004	32.62254937
15.89504622	32.62254937
15.96564927	32.57797705
15.83202763	32.60026322
15.49699417	26.33773354
15.46546381	26.3600197
15.53750585	26.3600197
15.39460284	26.3600197
15.5131156	26.33773354
15.06555905	21.7244115
15.10822732	21.7244115
15.1057196	21.65755091
15.04280954	21.67983708
15.09074606	21.7244115
15.09139087	23.0170321
14.96849088	23.10617886
15.11919541	23.06160655
15.02894174	23.10617886
15.10114723	23.10617886
14.96808229	23.6410573
15.08114165	23.66334347
15.03164482	23.68562963
15.10792727	23.70791578
14.96834021	23.68562963
14.62142317	17.13337457
14.70614938	17.17794796
14.64703154	17.17794796
14.72061602	17.11108736
14.62235527	17.17794796
14.26141467	12.8766364
14.32685288	12.85435023
14.25420561	12.8766364
14.31737487	12.89892361
14.28123255	12.8766364
13.52318093	5.566637064
13.60053848	5.544350917
13.6307754	5.544350917
13.61730343	5.611210446
13.54544141	5.611210446
13.51997988	7.193558017
13.53761181	7.193558017
13.56905918	7.215844697
13.48740889	7.193558017
13.5614543	7.193558017
13.10075011	2.713954532
13.18731625	2.758527648
