"Aboutaha, Engelhardt, Jirsa and Kreger, Test ORC1"	
6285	
16.2170114	104.4521171
15.74106902	99.81992544
15.25645718	95.38985088
14.80292005	91.27980992
14.39829038	87.32140128
13.92077506	83.514536
13.46228134	78.94973152
12.96808554	74.5364704
12.22225592	67.54603808
11.44868037	61.07780096
10.6910537	54.60956384
9.69823592	46.74323136
8.79736197	40.32549683
8.09639772	35.12058067
7.49975963	30.7747201
6.96424672	27.0015751
6.46333849	23.66638464
5.99906513	20.7691487
5.55812981	18.15826611
5.13689282	15.73267386
4.78343857	13.71134253
4.41573641	11.77423853
4.12161492	9.550776736
3.57435983	6.080829664
2.30090029	-1.88657472
0.66143956	-13.52605664
-1.6380524	-26.49624672
-3.9032689	-40.1738912
