"Pujol 2002, No. 10-1-2.25S"	
32189	
0.555116854	28.00807983
0.496657906	28.00807983
0.561669806	28.00807983
0.489373282	28.030366
0.565932457	27.98579157
0.549065201	29.36756104
0.588714883	29.36756104
0.479684986	29.36756104
0.59872728	29.38984719
0.55430738	29.41213336
0.58228975	29.43441953
0.542204315	29.41213336
0.584617576	29.38984719
0.520845993	29.36756104
0.591229768	29.36756104
0.551236745	29.36756104
0.599645931	29.41213336
0.604651471	29.47899395
0.554767484	29.36756104
0.631739141	29.41213336
0.568667694	30.30359671
0.588707498	30.23673823
0.632510971	30.30359671
0.529597594	30.28131055
0.620385392	30.2590244
0.619213375	31.50707268
0.60595486	31.50707268
0.647031	31.52935883
0.610947307	31.57393328
0.614041614	31.551645
0.629627356	31.50707268
0.63499959	31.50707268
0.656937373	31.52935883
0.59663741	31.52935883
0.640571298	31.551645
0.63838706	31.551645
0.635270798	31.52935883
0.652131986	31.50707268
0.593035416	31.551645
0.647526792	31.52935883
0.683177047	34.07002984
0.738082422	34.0254575
0.632820222	34.00316922
0.723829569	34.07002984
0.718872371	34.04774367
0.767300918	35.87524483
0.747205068	35.85295655
0.78006432	35.87524483
0.696231537	35.87524483
0.811484737	35.87524483
0.786321514	35.74152364
0.833089358	35.83066827
0.834766348	35.83066827
0.854083141	35.83066827
0.775634369	35.83066827
0.777805873	35.83066827
0.869962526	35.85295655
0.873598971	35.87524483
0.859383402	35.85295655
0.841069209	35.85295655
0.920686006	36.45469347
0.893777851	36.41012115
0.805174291	36.43240943
0.904556969	36.45469347
0.850361031	36.43240943
0.879046212	37.85874911
0.903640912	37.83646083
