"Pujol 2002, No. 20-3-3N"	
12980	
20.07	117.613
20.06	117.591
20.06	117.568
20.06	117.546
20.08	114.939
20.14	114.872
20.13	114.872
20.17	114.916
20.14	114.894
19.94	111.328
19.89	111.306
19.92	111.350
19.88	111.350
19.95	111.328
19.96	111.506
19.87	111.506
19.92	111.529
19.89	111.506
19.95	111.529
19.82	106.470
19.80	106.514
19.77	106.536
19.71	106.492
19.74	106.514
19.70	102.993
19.70	102.993
19.71	103.015
19.71	103.015
19.67	103.037
19.40	97.510
19.35	97.510
19.37	97.510
19.30	97.510
19.35	97.510
19.10	93.521
19.13	93.499
19.11	93.499
19.17	93.521
19.20	93.521
19.09	95.594
19.09	95.594
19.07	95.571
19.13	95.571
19.13	95.594
18.85	88.819
18.86	88.841
18.80	88.841
18.84	88.841
18.79	88.819
18.78	89.376
18.78	89.354
18.73	89.354
18.81	89.376
18.79	89.376
18.62	84.361
18.58	84.384
18.53	84.384
18.56	84.384
18.51	84.384
18.43	80.595
18.42	80.573
18.35	80.617
18.39	80.573
18.38	80.595
18.08	75.358
18.15	75.402
18.11	75.402
18.12	75.402
18.13	75.402
17.85	71.435
17.86	71.502
17.80	71.480
17.88	71.480
17.83	71.457
17.56	66.510
17.54	66.510
17.51	66.487
17.53	66.532
17.48	66.532
17.47	68.872
17.42	68.850
17.48	68.828
17.41	68.805
17.47	68.828
17.49	68.961
17.47	68.961
17.46	68.961
17.43	68.984
17.45	68.984
17.45	69.675
17.44	69.653
17.41	69.630
17.46	69.653
17.38	69.630
17.40	67.001
17.39	67.023
17.38	66.956
17.38	67.001
17.36	67.001
17.16	62.098
17.13	62.098
17.17	62.075
17.18	62.053
17.15	62.120
16.89	57.774
16.93	57.774
16.92	57.796
16.92	57.819
16.94	57.819
16.59	53.361
16.57	53.428
16.56	53.406
16.51	53.406
16.58	53.450
16.26	48.859
16.24	48.904
16.24	48.882
16.24	48.904
16.25	48.926
15.93	44.357
15.90	44.335
15.92	44.335
15.88	44.380
15.89	44.357
15.81	47.010
15.84	47.032
15.78	47.032
15.82	47.032
15.78	47.054
15.77	47.121
15.75	47.032
15.79	47.076
15.77	47.121
15.84	47.121
15.84	47.099
15.85	47.121
15.82	47.099
15.83	47.143
15.81	47.099
15.81	47.277
15.86	47.232
15.88	47.232
15.87	47.255
15.84	47.255
15.40	39.900
15.44	39.878
15.43	39.900
15.46	39.922
15.45	39.900
15.17	35.889
15.17	35.911
15.17	35.911
15.14	35.933
15.17	35.933
14.75	31.164
14.74	31.164
14.74	31.142
14.74	31.142
14.69	31.164
14.28	26.862
14.35	26.885
14.34	26.840
14.38	26.840
14.38	26.840
14.29	29.247
14.23	29.203
14.23	29.225
14.21	29.225
14.28	29.292
13.73	22.427
13.78	22.427
13.76	22.427
13.83	22.405
13.80	22.427
13.70	23.341
13.78	23.319
13.76	23.319
13.81	23.363
13.82	23.319
13.43	17.836
13.43	17.814
13.38	17.836
13.41	17.814
13.35	17.836
12.95	13.513
12.96	13.513
12.90	13.513
12.97	13.535
12.93	13.580
12.41	8.966
12.35	9.011
12.42	8.966
12.40	9.033
12.44	8.989
12.42	11.485
12.42	11.485
12.42	11.485
12.43	11.462
12.43	11.440
12.24	8.721
12.24	8.743
12.20	8.788
12.18	8.855
12.17	8.743
11.99	6.493
12.00	6.448
11.96	6.493
11.97	6.515
11.92	6.493
11.77	4.442
11.77	4.487
11.73	4.487
11.77	4.509
11.70	4.509
11.49	2.503
11.55	2.548
11.53	2.548
