Sezen et al. 2000 Specimen 2	
-12.4968	-289.2929567
-12.2682	-281.8516488
-12.0015	-278.0001582
-12.0777	-271.7636247
-11.8745	-263.1886134
-11.6332	-255.6203205
-11.3919	-247.7692599
-11.1379	-241.0349621
-10.8585	-235.8364084
-10.6299	-227.8388294
-10.3251	-221.2034707
-10.16	-214.7326962
-9.8679	-208.1721667
-9.652	-201.3767959
-9.3726	-195.7863106
-9.0932	-189.9163622
-8.9281	-183.4898315
-8.5344	-177.6632462
-8.3947	-170.5997846
-8.3439	-169.5205631
-7.9502	-157.7508548
-7.6962	-151.2924621
-7.3279	-145.0572584
-7.0358	-137.5660495
-6.8199	-131.4111231
-6.5786	-124.462865
-6.35	-118.0449579
-6.0198	-111.5515056
-5.715	-105.3744663
-5.5372	-98.39849138
-5.2832	-91.58305343
-5.0419	-85.73479996
-4.8006	-79.43935481
-4.5085	-72.59660477
-4.0767	-67.04481275
-3.9497	-60.23770942
-3.6322	-53.44121782
-3.3401	-47.15793214
-3.1496	-41.30747315
-2.9591	-35.26819956
-2.667	-29.24654118
-2.5273	-23.66885227
-2.2987	-17.98227832
-2.0193	-11.85150498
-1.778	-4.536490028
-1.5367	1.946869865
-1.2319	8.116139123
-0.9779	14.66458031
-0.6731	21.1132863
-0.5207	27.77731
-0.254	34.20976795
0.0254	40.34109678
0.2921	46.2277642
0.4699	52.74505064
0.762	58.48487851
1.143	64.59987968
1.27	71.1276222
1.6764	76.36230746
1.8415	83.00113074
2.2098	89.13806699
2.3876	95.65465962
2.7178	101.5029264
2.9464	107.8317011
3.2385	113.4734705
3.5179	119.5154927
3.8862	124.825821
4.0894	131.2937847
4.4323	136.0229804
4.6482	141.271106
4.953	146.3399885
5.2324	152.3001011
5.4864	157.1871119
5.7023	163.1693419
6.0198	168.042819
6.3246	173.2943113
6.5913	177.9915607
6.8834	183.7240991
7.1755	188.9134288
7.3279	194.6642864
7.6581	199.4080211
7.6708	200.2986507
8.255	209.2170446
8.5852	214.4189606
8.7757	219.8212455
9.4107	224.1421741
9.398	229.3222218
9.652	233.2949245
9.9187	237.9674369
10.0965	242.8228527
10.5156	246.9357895
10.7442	251.3503513
11.1125	254.9331728
11.3665	258.8077992
11.6332	262.0084293
11.9888	265.2553622
12.3063	268.5731661
12.5095	272.1552404
12.8778	274.3648651
12.9413	272.1370991
13.0429	270.2743749
13.1318	269.4381782
13.1953	270.612158
13.3985	270.0376211
13.2334	269.4365815
13.1953	264.8555542
13.0302	255.814058
12.6873	249.705399
12.5095	241.8206352
12.192	235.059101
12.0396	226.6490519
11.7348	219.9273006
11.43	214.1044468
11.1887	207.5343418
11.0363	200.5855412
10.7696	193.3235609
10.5156	186.8710656
10.2362	180.8428129
9.9695	174.9601758
9.7409	168.3433721
9.4996	161.6581703
9.1567	155.7832496
8.7376	150.0983439
8.7503	143.3885475
8.3566	137.4763167
8.2042	130.4619332
7.9121	124.4372785
7.6327	118.3876156
7.3152	112.7935278
7.1755	106.7570517
6.9596	100.2132715
6.5405	94.73010887
6.35	89.24076866
6.0706	83.47428248
5.7785	76.91784914
5.5118	71.02516959
5.3721	65.00054606
4.953	59.40331839
4.7117	52.74033629
4.4958	45.93540334
4.1783	39.50333366
3.937	33.57496382
3.7719	32.44060226
3.3528	20.71204175
3.0734	14.2158658
2.8194	7.212511195
2.5781	0.818464619
2.286	-4.735275043
1.9558	-9.946198202
1.778	-17.01611943
1.4986	-22.96324438
1.3716	-28.39597682
1.0541	-33.62221361
0.8128	-38.54990263
0.7493	-41.90989637
0.5334	-47.15805667
0.2794	-53.4343998
-0.0381	-59.03064013
-0.2159	-66.09992804
-0.5207	-72.36769639
-0.7366	-79.08369713
-1.0795	-85.73283416
-1.3208	-92.30509616
-1.6129	-98.96277239
-1.8796	-104.8483493
-2.1971	-111.4503739
-2.4638	-117.5195347
-2.7686	-124.0590231
-3.048	-129.8219646
-3.2385	-133.1007105
-3.5052	-141.9198362
-3.8481	-148.1144832
-4.1529	-153.6365926
-4.3561	-159.202412
-4.6228	-165.447089
-4.8514	-171.4001789
-5.1435	-176.5941606
-5.3467	-182.60461
-5.7023	-187.7543925
-5.9817	-193.6133777
-6.2611	-199.5621981
-6.5659	-204.8256364
-6.7691	-211.191023
-7.0993	-216.4880488
-7.4041	-222.1098223
-7.6581	-226.9152926
-7.9756	-232.5064183
-8.2677	-234.0755853
-8.4709	-243.0678566
-8.7503	-248.2054885
-9.0424	-253.3836949
-9.2075	-259.2006247
-9.5377	-263.74975
-9.7409	-268.0483655
-10.1219	-273.9515412
-10.414	-279.2589742
-10.6553	-284.3453264
-10.9728	-288.918237
-11.2268	-294.2024185
-11.4935	-298.9911129
-11.8872	-303.6938149
-12.1031	-308.2206539
-12.4968	-311.7420332
-12.5222	-312.7900021
-13.0556	-320.3524377
-13.4239	-323.6373656
-13.6398	-327.0332898
-13.9573	-329.6359001
-13.9954	-327.8785639
-14.0208	-326.9024444
-14.0589	-325.1440407
-14.0208	-322.6191727
-13.7795	-313.5561151
-13.5255	-305.0872923
-13.2334	-296.2367806
-13.0175	-287.8775043
-12.7889	-280.6420177
-12.4587	-273.0315625
-12.2555	-265.5587395
-12.0015	-258.202241
-11.7983	-251.5412825
-11.4681	-245.1316344
-11.2903	-238.5200254
-10.9601	-231.8319683
-10.7315	-226.0700631
-10.4521	-220.1175824
-10.16	-213.7104161
-9.9187	-207.880006
-9.7028	-201.9963504
-9.398	-196.369787
-9.2075	-190.3295795
-8.89	-184.5537135
-8.6614	-178.8645649
-8.3947	-173.0805244
-8.1026	-166.5216806
-7.8105	-160.859088
-7.6073	-155.0470816
-7.366	-148.7270374
-7.1374	-141.6801026
-6.8707	-135.7055223
-6.5151	-129.6381806
-6.223	-123.7242953
-5.969	-117.3365023
-5.7658	-110.785446
-5.3975	-104.8149752
-5.2197	-99.22658474
-4.9784	-92.46554417
-4.6482	-86.62469134
-4.445	-81.24906035
-4.1656	-74.21607739
-3.8608	-67.9384934
-3.6322	-61.88382257
-3.3782	-55.52025506
-3.0607	-49.09366204
-2.8194	-43.16702049
-2.6035	-36.99510955
-2.3368	-31.29338787
-2.1336	-26.20427906
-1.8923	-21.45708383
-1.6764	-14.28778588
-1.4478	-7.860982935
