"Pujol 2002, No. 10-1-2.25N"	
32189	
6.533001303	105.557035
6.528020073	105.5347467
6.56767702	105.5347467
6.543548811	105.2450245
6.531426905	105.2227363
6.583760789	105.2673043
6.548876217	105.2227363
6.45541829	105.2227363
6.561231888	103.9596432
6.529136523	103.9819315
6.601045955	103.9819315
6.599064066	103.9819315
6.502869943	103.9596432
6.606875379	103.6476327
6.562352169	103.669921
6.602776196	103.6476327
6.624273595	103.6030561
6.523462942	103.6476327
6.579195354	103.6030561
6.544312059	103.5584881
6.544801304	103.5807679
6.585581726	103.5807679
6.595732601	103.5584881
6.601570328	103.0013235
6.659685096	102.9567469
6.56023743	102.9790352
6.53184206	103.0013235
6.613441226	102.9790352
6.570199889	100.4553519
6.599055762	100.4330721
6.700685869	100.4107838
6.664623532	100.4330721
6.653362594	100.4107838
6.637218148	97.87011495
6.586549358	97.89239474
6.643747589	97.91468302
6.715816057	97.9369713
6.633452367	97.87011495
6.612617301	93.50194278
6.563973831	93.50194278
6.570357009	93.4796545
6.590393699	93.54651087
6.566614221	93.50194278
6.402071426	88.66575068
6.467242562	88.66575068
6.451868389	88.68803896
6.390772166	88.66575068
6.341025021	88.68803896
6.313104844	89.86922451
6.343838499	89.86922451
6.424621404	89.82465644
6.419436429	89.91380107
6.359199897	89.89151279
6.354843956	89.95837763
6.397330348	90.0029457
6.409800347	89.98065742
6.3729952	90.04752226
6.423200294	90.02523398
6.166251512	84.49816456
6.270111324	84.52044435
6.218932211	84.49816456
6.171170148	84.52044435
6.248407624	84.49816456
6.036841743	80.15228069
6.05656483	80.17456048
6.053324061	80.17456048
6.015912788	80.17456048
5.970918217	80.12999241
5.929257665	76.56413896
5.926509335	76.58642724
5.9283852	76.60870705
5.852785353	76.56413896
5.907248667	76.56413896
5.681282632	71.48279273
5.697764951	71.50508101
5.754975318	71.48279273
5.686305377	71.48279273
5.646300977	71.5273693
5.473870863	66.84718667
5.505160187	66.86947495
5.475615155	66.86947495
5.463336767	66.82490261
5.509826537	66.84718667
5.412082287	68.40724754
5.415386287	68.40724754
5.484150117	68.42953582
5.480225938	68.40724754
5.461720214	68.40724754
5.383529158	68.69697398
5.417158044	68.74154629
5.478007729	68.71926226
5.447010291	68.71926226
5.41197754	68.71926226
