Hakim_Kono 2002 Column D1N30	
1457	
-10.75339027	3.618926579
-10.28965964	8.420450865
-9.770602217	13.18615769
-9.255356818	17.77061473
-8.754869996	22.18308449
-8.136095633	27.79309375
-7.762128403	29.13090023
-7.323091617	32.09075549
-6.793412519	35.98511384
-6.263499674	39.1354417
-5.8126673	41.76237872
-5.278934524	45.13910129
-4.799863693	47.9946604
-4.296170956	50.75734329
-3.774991368	53.53699043
-3.266994171	56.72699506
-2.798954995	60.306353
-2.286653609	63.17818568
-1.796451738	67.46296046
-1.32660266	71.14170819
-0.825206602	75.43342849
-0.300549326	79.48735415
0.160944089	82.81884263
0.634400864	87.63896062
1.116368336	92.43693935
1.636454445	96.40180907
