Saatcioglu and Gira 1999 Column BG-1	
-4.502386	-66.90668693
-5.001981	-67.15452888
-5.501576	-71.70924012
-6.001172	-72.33610942
-6.500767	-72.34273556
-7.017589	-75.90328267
-7.517184	-76.28893617
-8.016778	-80.0856535
-8.516373	-80.29908815
-9.033195	-83.5150152
-9.515564	-83.62006079
-10.01516	-87.24449848
-10.51475	-87.45787234
-11.01435	-90.77221884
-11.51394	-92.88066869
-12.01354	-93.16297872
-12.51313	-95.78820669
-13.01273	-99.34370821
-13.51232	-100.0050456
-14.02915	-102.0839514
-14.51152	-102.6024924
-15.01111	-103.0914894
-15.51071	-106.7503951
-16.0103	-107.5150152
-16.5099	-110.0713678
-17.00949	-110.4225532
-17.50909	-110.7393313
-18.00868	-113.2266869
-18.50828	-113.543465
-19.00787	-115.927538
-19.50747	-117.3812766
-20.00706	-117.6979939
-20.50666	-119.5308207
-21.00625	-122.3627356
-21.50585	-123.2996353
-22.00544	-125.1324012
-22.50504	-126.7584802
-23.00463	-128.2122188
-23.50423	-128.3911246
-24.00382	-129.4658967
-24.52065	-129.4774468
-25.00302	-133.2691793
-25.50261	-132.8623708
-26.0022	-133.1790881
-26.5018	-136.1488754
-27.00139	-136.2244377
-27.51822	-138.1999392
-28.01781	-138.3099088
-28.50018	-139.345228
-29.017	-139.4947112
-29.5166	-140.1559271
-30.01619	-140.2314894
-30.51579	-141.2028571
-31.01538	-142.5531915
-31.51498	-143.4212158
-32.01458	-143.9446201
-32.51417	-142.1595745
-33.03099	-143.3771429
-32.49694	-98.87896657
-31.98012	-92.07969605
-31.49775	-88.01234043
-30.99816	-84.62917933
-30.48133	-83.17045593
-29.98174	-77.99556231
-29.49937	-76.23671733
-28.99977	-72.40553191
-28.48295	-68.77617021
-27.98336	-65.18620061
-27.48376	-63.59465046
-26.98417	-59.59122188
-26.48457	-55.3466079
-25.98498	-51.82555623
-25.46815	-48.29951976
-24.98578	-47.98777508
-24.48619	-43.50197568
-23.9866	-42.63396353
-23.46977	-39.2457386
-22.98741	-36.48768389
-22.48781	-33.3456231
-21.98821	-31.06494833
-21.48862	-28.02625532
-20.98903	-25.50439514
-20.48943	-22.22451672
-19.98984	-22.14896049
-19.49024	-21.97004255
-18.99064	-16.55394529
-18.49105	-12.27486322
-17.99145	-11.13119757
-17.49186	-8.471507599
-16.99227	-6.087458967
-16.49267	-3.25548997
-15.99307	-1.043716717
-15.49348	1.684888754
-14.99388	3.242017629
-14.49429	5.970625532
-13.99469	8.940413374
-13.4951	10.08408511
-12.97827	12.88658967
-12.49591	15.12784195
-11.99631	16.58161094
-11.49672	18.17319757
-10.99712	22.52119757
-10.49753	25.00862006
-9.997931	27.11703343
-9.498337	29.08764134
-8.998741	31.85070517
-8.499146	33.95911246
-7.999552	36.44654711
-7.499956	39.07178723
-6.983134	40.7372766
-6.483539	42.46668085
-5.983943	46.26341641
-5.484349	46.44234043
-4.984753	48.65412766
-4.485158	51.65838906
-3.985563	54.31809119
-3.485968	56.46096657
-2.986373	57.5357386
-2.486778	60.98790274
-1.987183	63.3375076
-1.487588	65.37702128
-0.9879924	67.38206687
-0.4883973	68.87033435
