"Wehbe et al. 1998,Specimen A2"	
7.264400254	16.16802
6.565900254	10.28874
6.007099746	4.40946
5.4483	0
5.0292	-4.16449
4.6101	-7.83904
4.190999746	-11.75856
3.7719	-16.16802
3.4925	-18.86269
3.0734	-22.0473
2.514599975	-29.15143
1.6764	-36.7455
0.9779	-44.0946
0.8382	-46.05436
0.6985	-45.80939
0.5588	-48.01412
0.4191	-48.25909
0.4191	-49.48394
0.4191	-49.23897
0.2794	-48.74903
0.1397	-47.03424
0.1397	-47.03424
0.1397	-47.03424
0.1397	-47.27921
-0.2794	-55.60819
-1.1176	-66.1419
-1.816100076	-73.491
-2.095499898	-78.63537
-2.9337	-87.69926
-3.9116	-99.70279
-5.1689	-113.17614
-6.2865	-126.89446
-7.264400254	-138.89799
-8.801100254	-154.08613
-9.778999746	-165.59972
-10.89659975	-177.35828
-12.15390025	-189.60678
-12.71270051	-195.24109
-13.97000025	-209.44935
-14.94790051	-219.00318
-15.78610051	-227.33216
-16.48459975	-235.41617
-17.4625	-243.74515
-17.8816	-248.64455
-18.30069975	-252.80904
-19.41830051	-262.85281
-19.97709949	-267.99718
-20.39619924	-272.89658
-21.09470025	-278.53089
-21.37409949	-280.73562
-21.65350051	-283.18532
-21.9329	-285.87999
-22.352	-288.57466
-23.05049924	-295.18885
-24.02839949	-302.04801
-24.30780051	-304.49771
-24.58719975	-304.74268
-25.00629975	-308.17226
-25.28569924	-309.88705
-25.28569924	-309.39711
-25.8445	-301.55807
-25.8445	-301.55807
-25.8445	-301.55807
-25.8445	-301.55807
-25.8445	-302.04801
-25.9842	-304.98765
-26.4033	-309.39711
-26.543	-312.58172
-26.9621	-316.25627
-27.38119746	-319.44088
-27.80029746	-324.34028
-28.0797	-325.8101
-28.3591	-327.27992
-28.4988	-328.01483
-28.4988	-328.99471
-28.9179	-331.44441
-29.05760254	-333.1592
-29.337	-334.13908
-29.337	-334.87399
-29.7561	-337.56866
-30.0355	-339.03848
-30.1752	-339.77339
-30.5943	-343.20297
-30.8737	-343.69291
-31.0134	-345.16273
-31.2928	-346.38758
-31.4325	-345.65267
-31.5722	-348.10237
-31.9913	-349.57219
-31.9913	-349.08225
-32.27069746	-350.3071
-32.4104	-351.77692
-32.5501	-351.53195
-32.68979746	-350.55207
-32.68979746	-351.28698
-32.68979746	-350.79704
-32.9692	-353.49171
-32.9692	-353.24674
-33.10889746	-352.51183
-33.3883	-342.46806
-33.3883	-342.46806
-33.3883	-342.46806
-33.6677	-346.87752
-33.8074	-348.59231
-34.0868	-352.02189
-34.2265	-353.24674
-34.3662	-354.71656
-34.7853	-357.90117
-34.925	-358.88105
-35.3441	-360.1059
-35.6235	-362.31063
-35.9029	-363.78045
-36.1823	-365.0053
-36.4617	-365.98518
-36.8808	-368.43488
-37.2999	-368.43488
-37.57929746	-368.43488
-37.8587	-369.65973
-38.1381	-370.88458
-38.4175	-370.63961
-38.8366	-371.61949
-38.9763	-371.12955
-39.2557	-372.10943
-39.6748	-372.59937
-39.8145	-371.61949
-40.0939	-371.61949
-40.0939	-371.12955
-40.2336	-370.39464
-40.2336	-370.63961
-40.3733	-369.9047
-40.3733	-368.92482
-40.3733	-368.18991
-40.3733	-355.45147
-40.3733	-355.45147
-40.3733	-355.45147
-40.3733	-355.45147
-40.3733	-355.2065
-40.3733	-354.22662
-40.0939	-350.55207
-39.6748	-344.42782
-39.116	-336.83375
-38.5572	-329.48465
-37.99840254	-322.62549
-36.8808	-309.39711
-35.9029	-295.67879
-35.2044	-286.85987
-34.6456	-281.22556
-33.8074	-270.44688
-32.9692	-261.62796
-32.68979746	-257.70844
-32.131	-250.60431
-31.4325	-243.99012
-31.1531	-241.05048
-30.5943	-235.66114
-30.1752	-230.02683
-29.7561	-224.63749
-29.1973	-220.71797
-28.4988	-211.16414
-27.80029746	-203.81504
-27.5209	-203.08013
-27.38119746	-199.40558
-26.543	-190.83163
-25.7048	-182.25768
-24.72690025	-172.70385
-24.1681	-165.59972
-23.19019975	-156.04589
-22.21229949	-146.24709
-21.5138	-139.87787
-20.81529924	-133.01871
-19.55799949	-120.0353
-18.44040025	-109.99153
-17.8816	-104.11225
-16.90369975	-94.80339
-15.92579924	-85.49453
-14.94790051	-76.18567
-14.24939975	-69.08154
-13.55090051	-61.73244
-12.71270051	-55.60819
-12.01419975	-48.50406
-11.45540025	-43.35969
-10.7569	-36.99047
-10.47749975	-34.78574
-10.19809975	-32.09107
-9.499600254	-23.51712
-8.661399746	-16.41299
-7.8232	-8.81892
-7.124699746	-1.71479
-6.565900254	2.69467
-6.007099746	9.06389
-5.1689	16.65796
-4.190999746	27.19167
-3.3528	35.52065
-2.9337	39.44017
-2.095499898	46.05436
-1.6764	50.70879
-1.397	53.15849
-0.9779	58.7928
-0.5588	62.22238
-0.2794	64.18214
0	66.1419
0	66.38687
0.1397	67.12178
0.2794	59.28274
0.2794	59.28274
0.2794	59.28274
0.2794	59.28274
0.1397	58.30286
0.1397	58.30286
0.1397	58.30286
0.4191	64.67208
0.8382	72.26615
1.6764	82.79986
2.514599975	92.35369
3.3528	101.41758
4.190999746	108.76668
4.6101	114.15602
5.4483	122.24003
6.007099746	126.40452
6.7056	133.75362
7.264400254	139.14296
7.962899746	145.02224
8.9408	152.86128
9.778999746	160.94529
10.33780025	164.37487
10.89659975	169.51924
11.8745	178.33816
12.9921	187.15708
13.97000025	194.50618
15.08759949	202.10025
15.78610051	208.2245
16.90369975	217.04342
18.02130025	225.12743
18.99920076	232.47653
19.97709949	239.33569
21.09470025	248.64455
21.9329	253.29898
22.63139924	258.44335
23.749	266.52736
24.58719975	271.67173
25.4254	278.28592
26.8224	287.59478
27.94	295.67879
28.4988	299.10837
29.8958	309.39711
30.734	314.54148
32.131	323.11543
33.2486	330.46453
33.9471	334.13908
35.0647	341.48818
36.0426	347.12249
37.0205	351.77692
37.99840254	357.41123
38.8366	361.57572
39.116	361.33075
39.3954	362.31063
39.8145	365.0053
39.9542	365.49524
40.3733	366.47512
40.513	366.47512
40.513	365.98518
40.6527	366.72009
40.79239746	367.455
40.9321	367.455
40.9321	366.96506
41.21149746	355.69644
41.3512	355.69644
41.21149746	355.69644
41.0718	352.7568
40.3733	342.46806
39.8145	334.13908
38.8366	321.89058
37.719	308.17226
37.0205	297.39358
36.0426	287.59478
35.2044	279.2658
34.3662	268.97706
33.2486	257.2185
31.85159746	243.01024
30.734	232.23156
29.7561	222.43276
28.7782	212.63396
28.21939746	207.48959
27.38119746	198.67067
26.543	192.05648
26.1239	187.15708
25.14600025	178.33816
23.60929949	163.15002
22.77109975	155.80092
21.09470025	138.40805
19.13889949	121.75009
17.8816	109.74656
17.0434	103.86728
15.78610051	91.61878
13.55090051	72.51112
12.15390025	59.77268
10.7569	48.74903
9.6393	39.1952
8.5217	30.86622
7.8232	24.25203
7.543799746	23.27215
6.845299746	17.1479
5.867400254	8.32898
4.749800254	-1.71479
3.0734	-17.1479
1.397	-32.82598
-0.1397	-47.03424
-1.5367	-59.77268
-1.9558	-64.67208
-2.374900076	-68.10166
-3.3528	-78.14543
-5.1689	-97.988
-6.426199746	-109.99153
-7.4041	-118.07554
-7.962899746	-123.21991
-8.381999492	-128.36428
