"Ono et al. 1989, Specimen CA025C"	
7.2789	64.26
6.9888	54.804
6.7112	47.772
6.2067	37.83
5.8283	30.07
5.2857	22.795
4.7559	16.975
4.062	9.6998
3.6078	4.8501
3.1537	0.2425
2.4599	-3.6375
1.2489	-10.67
0.73167	-11.882
-0.088306	-14.55
-0.93353	-17.46
-2.0058	-21.097
-2.8763	-26.432
-3.6457	-35.405
-4.2639	-41.467
-4.92	-49.226
-5.6012	-56.743
-6.2824	-64.26
-6.7996	-68.868
-7.2283	-72.507
-7.5943	-74.931
-7.5187	-65.959
-7.2159	-53.834
-6.7366	-42.437
-6.257	-33.222
-5.7399	-24.977
-4.8443	-16.732
-4.1377	-11.155
-3.5448	-6.7899
-2.9393	-1.455
-1.9301	3.6375
-0.84521	8.2448
0.60554	10.427
1.6526	15.52
2.5735	21.825
3.444	28.615
4.3144	35.405
5.1092	42.922
5.702	50.681
6.2697	58.682
7.0267	66.444
7.8339	73.236
8.5529	77.84
9.0449	80.509
8.8684	69.598
8.5405	58.442
8.1999	49.471
7.7457	39.527
7.3546	30.798
6.7239	22.31
5.7399	14.065
4.5161	3.88
3.6205	-0.72751
2.9266	-3.1525
1.9175	-6.0626
0.99659	-7.76
0.36584	-9.4573
-0.98397	-14.307
-1.804	-18.915
-2.523	-22.067
-3.3683	-26.918
-3.9611	-31.767
-4.6045	-37.83
-5.2984	-44.863
-6.1184	-52.864
-6.686	-59.172
-7.178	-64.505
-7.5311	-68.143
-8.1242	-69.598
-8.49	-71.537
-8.9568	-75.901
-9.0703	-75.901
-8.8684	-66.204
-8.7043	-61.836
-8.4143	-51.895
-7.9728	-41.467
-7.4554	-30.798
-7.1023	-24.492
-6.0932	-16.247
-5.1344	-9.6998
-4.2388	-3.395
-3.4313	0
-2.4726	1.455
-2.0058	2.1825
-0.5046	4.365
0.7443	6.7899
1.6274	9.4573
2.4473	13.095
3.2926	18.187
4.1504	23.765
4.8946	29.827
5.8156	38.315
6.888	47.287
7.6573	54.564
8.3637	60.866
9.0576	68.384
8.8054	56.503
8.2502	43.407
7.8087	33.707
7.2916	23.765
6.6987	15.035
5.6769	6.5475
4.7432	-0.48501
4.0747	-2.91
3.3556	-3.88
2.4599	-4.1225
1.2615	-6.305
0.164	-8.2448
-0.94612	-9.9426
-2.0184	-12.125
-2.9898	-16.975
-3.9106	-23.28
-4.8189	-30.07
-5.6515	-35.89
-6.3706	-41.952
-7.1148	-49.471
-7.8087	-56.018
-8.5027	-62.081
-9.0576	-66.689
-8.78	-54.804
-8.0485	-36.132
-7.3797	-24.007
-6.7869	-17.46
-5.9543	-10.427
-5.046	-3.88
-4.1882	-0.2425
-3.1664	1.2125
-2.4852	2.425
-1.4886	2.91
-0.45415	4.365
