"Aboutaha, Engelhardt, Jirsa and Kreger, Test SC9"	
-1.24651008	-89.9536832
-1.78954176	-136.9748256
-2.22760032	-182.0103808
-2.542032	-219.8637504
-2.90876736	-267.771824
-3.37889088	-314.4940608
-3.48410784	-297.935936
-3.4741104	-280.4005856
-3.26709024	-228.4394944
-2.96594784	-189.086704
-2.58494784	-145.0644032
-2.02118976	-92.3186848
-1.49364192	-49.83984
-0.89818464	-10.74876992
-0.57326784	4.041826432
0.739298496	54.89103328
1.360919808	97.75044896
1.72309536	129.1827302
2.157898656	170.8390954
2.583472608	215.9785558
2.931468864	258.8807168
3.386608416	311.033161
3.389485728	300.4948704
3.340339776	278.5896714
2.849306976	201.5314518
2.458041312	151.9110317
2.06306928	108.3760093
1.703417472	76.0567968
1.447446432	55.33454336
0.97877376	26.49705626
0.082759296	-8.24450144
0.0819912	-7.22092768
-0.57582816	-36.82779424
-1.13190528	-69.7175072
-1.73967648	-112.8297472
-2.1079968	-147.5788576
-2.51874528	-186.6985728
-2.83451808	-218.870512
-3.21941952	-267.1175232
-3.58798368	-315.280912
-3.61078272	-312.5106976
-3.56884224	-282.74824
-3.40303104	-245.022528
-2.93693088	-182.0308416
-2.38341408	-123.834544
-1.941576	-87.0598144
-1.58752032	-57.8030944
-0.97889568	-18.30223008
-0.66946272	-2.71737216
-0.65824608	-4.28827232
-0.24591264	14.21561674
0.765547872	53.49703008
1.332683136	89.19592192
1.768437408	125.7607059
2.240560416	172.4636829
2.695309824	218.9990592
3.050097024	261.5871914
3.426781056	309.2412397
3.959059392	361.9624051
3.781300032	279.0763715
3.373855584	230.6818646
2.587886112	140.6109766
2.1268944	95.13133312
1.2103608	29.92300371
0.304848768	-5.81535968
-0.58497216	-40.62976672
-1.09837728	-71.1328608
-1.49035008	-98.3821984
-2.00814432	-141.6003008
-2.50704096	-184.1022752
-2.88474912	-223.158384
-3.23929248	-266.0175328
-3.61870752	-313.2072544
-4.0379904	-357.5893984
-4.15064448	-340.1839296
-4.13406336	-320.38944
-3.8630352	-264.0946624
-3.23831712	-180.108416
-2.93558976	-150.7058016
-2.31940608	-98.6779904
-1.68322752	-52.332944
-0.9771888	-9.60981504
-0.6467856	4.87182768
-0.29358336	16.24939357
0.834347328	60.46749088
1.334438784	89.25952832
1.708318656	117.8178234
2.260287072	163.593081
2.817668736	217.1832522
3.239877696	261.9624246
3.645078816	311.6891965
4.199985504	366.907825
4.199156448	358.9445706
4.165872288	334.5645933
4.098084768	317.5189232
3.981943776	300.3261578
3.47203776	233.2382637
2.927591808	172.1903978
2.587093632	135.1608422
2.145633504	95.6173216
1.759232448	65.19918432
1.479804	45.8924624
0.662245056	4.990954016
-0.13630656	-16.654424
-0.88916256	-53.5574784
-1.58544768	-96.2275872
-2.12786976	-138.1575488
-2.8114752	-192.7603072
-3.34438752	-246.0162112
-3.60980736	-278.587136
-3.95191488	-321.9542464
-4.27475904	-360.652736
-4.30584864	-356.660656
-4.26829728	-332.7713376
-4.0270176	-283.4670368
-3.3430464	-192.3599872
-2.64919968	-125.2721376
-1.9220688	-70.287296
-1.19091456	-25.37824192
-0.66775584	0.765416288
-0.64666368	-1.09692128
-0.1170432	19.62008797
0.996598464	65.57966624
1.560405312	100.0952566
1.995111072	132.3306243
2.401970304	168.831713
2.892393504	216.2970771
3.328501344	261.6478621
3.73331232	307.844968
4.168847136	357.4866496
4.670169984	405.2478947
4.547359968	327.7446083
3.996403488	261.2681363
3.26977248	177.8525238
2.638946208	119.0647312
2.03527152	71.78943008
1.431243264	34.10543587
0.329817984	-6.85672544
-0.80869536	-53.282592
-1.48669248	-93.8198848
-2.10945984	-138.1584384
-2.6596848	-182.1798496
-3.12078624	-222.293248
-3.53311968	-268.1748128
-3.944112	-315.427696
-4.31096928	-360.5063968
-4.75280736	-402.1605824
-4.8713136	-388.3633312
-4.73573856	-338.7272096
-4.352544	-281.818608
-3.69746784	-205.711104
-3.02532288	-138.3479232
-2.19199968	-76.687968
-1.45950432	-30.11046912
-0.87184992	-2.77902144
-0.37258752	15.24495066
0.992148384	64.01614976
1.537191744	96.08240448
1.831677312	117.2688067
2.521269024	166.6348902
2.963728896	209.2190637
3.474695616	259.07376
3.83414016	293.8854538
4.265273664	342.047953
4.763463168	395.467232
4.90246416	407.3390774
4.908523584	401.1944768
4.617915072	330.7860618
3.638714592	212.0719219
3.26099424	171.5144352
2.767120704	124.3674589
2.051937984	70.35370464
1.389424704	30.03018717
0.398141952	-6.42953952
-0.82161888	-52.2479872
-1.6264128	-97.6220352
-2.2091904	-137.607776
-3.00069504	-196.3534016
-3.37145376	-229.665808
-3.7380672	-269.0412832
-4.16588448	-315.6376416
-4.53408288	-358.9206848
-4.95324384	-405.22392
-4.9688496	-401.4649152
-4.87838496	-349.921936
-4.68306912	-319.0154528
-4.37887872	-274.0248224
-3.78976128	-208.0983456
-3.5460432	-182.6219808
-3.026664	-134.6089344
-2.02618848	-65.1338432
-0.92134944	-5.14873792
-0.92342208	-7.47584256
-0.59533536	7.475313248
-0.11911584	21.00560438
0.865119936	54.93320032
1.559832288	93.20966368
2.037185664	123.0136211
2.611209408	166.5917002
3.114068448	211.0771267
3.532851456	251.9739958
4.09504896	311.034095
4.47885312	350.4937709
4.856171136	391.240609
5.32345392	442.1086931
5.215969248	370.9402038
5.04328176	354.4468864
4.416905568	267.5191776
3.935541024	216.3589933
3.533680512	177.8297501
3.050840736	134.48528
2.774704128	109.9395258
2.33799888	79.14063968
1.584508896	32.50001478
0.92848176	3.67745072
-0.432816	-36.91190592
-1.43694912	-87.3974176
-2.19870528	-137.0375424
-2.76380448	-176.8996288
-3.34414368	-222.0588384
-3.86583936	-274.846368
-4.28268384	-318.1111744
-4.68087456	-362.8905248
-5.0743104	-410.143408
-5.54053248	-453.402432
-5.64270144	-435.0224064
-5.54382432	-400.7011936
-5.38605984	-372.2273216
-5.18111232	-340.4356864
-4.72427808	-279.029712
-4.46068704	-249.668464
