Galeota 1996 Specimen AB4	
16.56	157.8846
16.73	159.0323
17.07	161.1954
17.23	162.3212
17.57	164.5063
17.91	166.5811
18.08	167.7068
18.41	169.7155
18.58	170.8412
18.92	172.8056
19.26	174.7921
19.43	175.9178
19.78	177.8161
20.12	179.7805
20.47	181.4801
20.81	183.2238
21.17	184.9896
21.52	186.6892
21.85	188.0577
22.17	189.2496
22.75	189.8235
23.14	188.1902
23.66	189.1172
24.1	190.2428
24.67	191.5231
25.27	192.715
25.9	193.5538
26.57	193.4434
27.18	192.119
27.79	190.7285
28.42	189.4041
29.06	187.8591
29.55	186.623
30.03	185.2986
30.53	184.0405
31.16	182.5616
31.65	181.3256
32.15	179.9129
32.5	178.5665
32.85	177.0435
33.2	175.6088
33.69	174.2624
34.18	173.0704
34.81	171.8565
35.59	170.5101
36.37	169.1857
37.01	167.9938
37.81	166.7136
38.44	165.4996
39.08	164.2856
39.7	163.0937
40.5	161.8356
41.28	160.5333
42.05	159.4076
42.85	158.1936
43.62	157.1562
44.39	155.9863
45.17	154.662
45.38	153.5363
45.66	152.3885
46.17	151.2849
46.21	150.1371
46.26	148.9453
46.3	147.7754
46.29	146.2744
46.21	144.8398
46.07	143.5154
45.95	142.1248
45.83	140.8667
45.69	139.5644
45.56	138.3504
45.43	137.0923
45.28	135.6797
45.12	134.0463
44.96	132.5895
44.81	131.0665
44.65	129.6318
44.5	128.1088
44.34	126.6962
44.18	125.1069
44.03	123.7163
43.87	122.2154
43.73	120.869
43.57	119.3018
43.42	117.8451
43.26	116.4103
43.11	114.8212
42.95	113.563
42.8	112.0621
42.64	110.6053
42.49	109.1926
42.32	107.7579
42.17	106.3232
42.03	104.8885
41.86	103.5201
41.71	101.997
41.55	100.7389
41.4	99.2821
41.25	97.89155
41.1	96.50095
40.94	95.1325
40.78	93.7419
40.62	92.24095
40.47	90.9387
40.32	89.54815
40.16	88.26795
40.01	86.78905
39.85	85.4206
39.68	84.07415
39.53	82.5732
39.37	81.2268
39.21	79.7921
39.05	78.46775
38.87	77.03305
38.71	75.6866
38.56	74.18565
38.39	72.77305
38.22	71.38245
38.08	70.10225
37.91	68.6896
37.76	67.3432
37.59	66.0409
37.43	64.73865
37.27	63.3481
37.1	62.0237
36.95	60.63315
36.79	59.3971
36.63	58.13895
36.48	56.85875
36.31	55.57855
36.16	54.3425
36	53.01815
35.84	51.8483
35.69	50.5019
35.53	49.30996
35.37	48.11805
35.22	46.83784
35.05	45.57971
34.9	44.3878
34.74	43.2621
34.59	42.11433
34.43	40.92242
34.14	38.75931
33.84	36.77279
33.55	34.74212
33.26	32.9101
32.98	31.27674
32.69	29.3785
32.42	27.67892
32.15	26.06763
31.93	24.7212
31.75	23.5955
31.54	22.38152
31.29	20.72608
31.04	19.07064
30.79	17.52556
30.58	16.135
30.42	15.0093
30.03	13.26558
29.84	11.89708
29.67	10.5948
29.49	9.380815
29.26	7.659155
29.08	6.29066
28.86	5.12082
28.71	3.818542
28.43	2.516265
28.25	1.390568
28.08	0.26487
27.85	-1.434713
27.66	-2.91357
27.45	-4.4145
27.23	-5.91543
27	-7.50465
26.76	-9.09387
26.51	-10.74931
26.27	-12.33853
26.01	-13.97189
25.75	-15.6494
25.49	-17.37106
25.21	-19.04856
24.93	-20.74815
24.66	-22.49187
24.39	-24.14731
24.11	-25.86897
23.84	-27.56855
23.55	-29.06948
23.27	-30.6587
22.99	-32.22585
22.7	-33.74885
22.42	-35.316
22.14	-36.92729
21.65	-38.78138
21.37	-40.34853
21.09	-41.95982
20.81	-43.70355
20.53	-45.5135
20.25	-47.10271
19.97	-48.66986
19.68	-50.3253
19.38	-51.9145
19.08	-53.34925
18.79	-54.9164
18.49	-56.46145
18.18	-57.852
17.88	-59.3971
17.57	-60.87595
17.25	-62.2224
16.94	-63.6571
16.62	-65.0256
16.3	-66.3058
15.98	-67.54185
15.66	-68.9545
15.34	-70.25675
15	-71.5811
14.67	-72.8834
14.33	-74.0091
14	-75.24515
13.66	-76.4812
13.32	-77.6952
12.98	-78.93125
12.63	-80.1011
12.29	-81.2268
11.77	-82.86015
11.24	-84.49355
10.89	-85.6413
10.37	-87.1864
9.85	-88.73145
9.49	-89.92335
8.95	-91.336
8.41	-92.859
8.02	-94.2937
7.47	-95.5739
6.98	-97.0969
6.46	-98.50955
5.94	-100.0546
5.6	-101.1804
5.08	-102.6813
4.57	-104.1822
4.22	-105.2859
3.88	-106.3895
3.52	-107.5814
3.18	-108.685
2.67	-110.3625
2.33	-111.5102
1.98	-112.6801
1.65	-113.8279
1.31	-115.0198
0.99	-116.2559
0.64	-117.514
0.31	-118.6618
-0.02	-119.9641
-0.35	-121.156
-0.68	-122.4583
-1.01	-123.8488
-1.34	-125.129
-1.67	-126.343
-1.99	-127.6452
-2.32	-129.08
-2.65	-130.3602
-2.96	-131.6846
-3.29	-132.9868
-3.61	-134.2891
-3.93	-135.6355
-4.24	-136.8936
-4.55	-138.218
-4.86	-139.4982
-5.18	-140.9108
-5.49	-142.1028
-5.81	-143.4933
-6.12	-144.8398
-6.43	-146.1641
-6.75	-147.4664
-7.06	-148.6803
-7.38	-150.1371
-7.69	-151.3953
-8.01	-152.543
-8.32	-153.9557
-8.63	-155.1035
-8.94	-156.4498
-9.28	-157.6638
-9.6	-158.9441
-9.91	-160.136
-10.24	-161.2838
-10.56	-162.4536
-10.88	-163.6013
-11.37	-165.323
-11.86	-166.9343
-12.2	-168.0821
-12.71	-169.6272
-13.05	-170.7529
-13.58	-172.2097
-14.12	-173.4899
-14.47	-174.6156
-14.99	-175.9841
-15.53	-177.2643
-16.05	-178.5224
-16.77	-180.0013
-17.49	-181.4359
-18.24	-182.6279
-19	-183.7536
-19.78	-184.4819
-20.61	-184.5923
-21.46	-184.813
-22.31	-184.5261
-23.21	-183.7977
-23.87	-183.2238
-24.77	-182.4733
-25.67	-181.4139
-26.4	-180.1999
-27.11	-178.7872
-27.59	-177.6174
-28.08	-176.4917
-28.82	-174.9908
-29.52	-173.5782
-30.24	-172.2097
-30.72	-171.0618
-31.47	-169.3623
-31.97	-168.0379
-32.47	-166.7578
-32.99	-165.2126
-33.66	-161.8135
-34.21	-156.9576
-34.67	-153.1169
-35.04	-150.8876
-35.34	-149.1439
-35.63	-147.6871
-36.1	-145.9875
-36.49	-144.7514
-36.86	-143.5374
-37.5	-142.2793
-38.08	-141.0654
-39.09	-136.695
-39.67	-131.1548
-40.25	-125.5263
-40.74	-120.6483
-40.98	-119.1694
-41.42	-115.9248
-41.95	-110.7377
-42.21	-108.994
-42.53	-107.8242
-42.93	-106.5219
-43.04	-105.3079
-43.35	-103.9614
-43.8	-98.9731
-44.06	-95.37525
-44.16	-93.78605
-44.28	-92.50585
-44.38	-91.3581
-44.47	-0.1986525
