"Sugano 1996, No.UC20H"	
944	
2.843947862	-158
1.17207265	-191.25
-0.094365001	-211.25
-1.275753418	-231.5
-2.564892775	-257.75
-4.153797969	-282
-5.049346898	-290.25
-6.08428071	-306
-7.052032208	-311.5
-8.051448999	-313.75
-8.967481757	-319
-9.741771407	-316.5
-10.61053572	-318.75
-11.398732	-310.75
-12.27697463	-307.25
-12.98141918	-301.75
-13.83267438	-298
-14.57618462	-288.5
-15.46574497	-284
-16.19361971	-272.75
-16.0220852	-240.5
-15.51764641	-211
-14.85106819	-176
-14.13469075	-141.25
-13.37136324	-106.5
-12.69768837	-79
-11.77036315	-40.75
-11.14869016	-18.5
-10.59513717	-1.75
-9.491772277	20.25
-8.456585284	53
-7.182474831	80.25
-5.800731261	106.5
-4.180530261	132.5
-2.184587162	159.75
-1.28466349	174.25
-0.198045013	189.5
1.307343678	210.25
2.762944718	227.25
3.944396013	235.75
5.780477908	258.25
7.004635649	266
7.96353617	275
9.066341434	277.25
9.784721615	276.25
10.46870796	277.5
11.36266395	275.75
11.988405	273.25
12.73376215	269.5
13.75646283	263.75
14.54212901	259.5
15.50426553	251.5
16.30392334	246.25
16.10805463	215
15.5740086	184.75
14.9321569	152
13.97942438	107.25
12.99074194	66.5
11.9073479	27.75
10.831386	-1.75
9.487315296	-35.5
8.128018737	-68.5
6.055115404	-109.5
4.01406146	-142.75
1.946442139	-172.75
-0.114615002	-203
-1.993423039	-224
-4.059020077	-250.75
-6.09116697	-270.75
-8.310329538	-279.25
-9.300528931	-283.5
-10.09956023	-281
-11.27918115	-278.25
-12.10107566	-274.25
-13.42527599	-269.75
-14.47239661	-259
-15.24962854	-252.25
-16.29256846	-245.75
-16.21592359	-213.75
-15.72282333	-184
-15.11663732	-152.25
-14.30374437	-111.75
-13.28096904	-65.5
-12.25184597	-26.75
-11.60825384	-6
-10.51611872	27.75
-8.965050792	71
-6.950757698	111.5
-5.103218752	142.25
-3.743906379	159.5
-1.907966433	182
-0.056295	205.25
2.106015376	224.75
4.059020077	243.25
6.194461215	259.5
8.179470623	265.75
9.226382524	261.25
10.13562346	256
11.31970668	253.75
12.15984334	246.5
13.20233101	239.5
14.17279841	233.75
15.16407596	224
16.24998786	212.75
17.09476112	204
17.1916966	202.5
17.77983337	195.5
18.6585016	188.25
19.54218105	179.25
20.3696003	172.75
20.34930884	152.5
20.03601928	131.5
19.63469602	110.75
18.93600497	76
18.27553771	46
17.66463497	20.25
16.97065357	-5.25
16.06953045	-40.75
14.55591341	-90.5
13.04911076	-128.75
11.37603748	-156.25
9.575239723	-184.75
7.353834524	-208.25
5.767110708	-223.5
3.978013617	-242
2.700167405	-252.75
1.266843347	-266.75
-0.015795	-275
-1.498505539	-285
-2.675461524	-289
-4.074816367	-291.75
-5.407010188	-290
-6.716613709	-288.5
-8.335042989	-274.75
-9.388451828	-268.5
-10.19640446	-261.25
-11.16246862	-254.5
-12.25873608	-242.5
-13.42527599	-225.75
-14.19996038	-215.75
-15.16407596	-204.5
-16.19118656	-191.25
-17.00472206	-180.5
-17.87434647	-163.25
-18.690146	-154.75
-19.56490387	-138.5
-20.49825002	-123
-20.65612444	-87.75
-20.39679097	-67.5
-20.01775818	-47.25
-19.6322614	-29.25
-19.08449951	-5.75
-18.52137798	24
-17.89260025	50.5
-16.8940002	91.75
-15.68430148	128.5
-14.27658201	161.75
-12.90967485	184
-11.45060542	203.75
-9.94193711	218
-8.301011365	233.5
-6.588605737	245.5
-4.531698183	257.75
-2.292724838	266.5
-0.110160002	273.75
1.464890174	272.5
3.066707474	269.25
4.113294552	266
5.314657083	262
6.455737831	253
7.488736205	247.75
8.150301024	237.5
8.857278546	233.75
9.894934287	226.75
10.95741483	218.75
11.80602761	199.25
12.85536038	170.25
14.63699863	121
14.51739826	47.5
14.2652306	14.5
13.79213622	-6.5
12.03379732	-1.75
