Saatcioglu and Grira1999 Column BG-6	
-10.51475	-148.3728875
-11.01435	-149.7674772
-11.51394	-150.5762918
-12.03077	-155.7318541
-12.51313	-158.8783587
-13.01273	-160.1351368
-13.51233	-165.0096657
-14.01192	-165.8530091
-14.51152	-169.0392705
-15.01111	-169.9514894
-15.51071	-174.2058359
-16.0103	-175.1525228
-16.5099	-177.9253495
-17.00949	-179.3543465
-17.50909	-182.2650456
-18.00868	-183.7629787
-18.50828	-185.536535
-19.00787	-186.3454103
-19.50747	-189.0148328
-20.00706	-189.720304
-20.50666	-190.2534954
-21.00625	-191.7170213
-21.50585	-193.4561702
-22.02267	-196.3031611
-22.50504	-196.8310638
-23.00463	-197.0886322
-23.50423	-198.9655927
-24.00382	-198.9130699
-24.50342	-199.8941641
-25.00302	-200.0827964
-25.50261	-200.2025532
-26.0022	-201.1836474
-26.5018	-201.6823708
-27.0014	-202.1466869
-27.50099	-203.5068085
-28.00059	-202.5928267
-28.51741	-203.441459
-29.017	-203.3888754
-29.5166	-205.5759271
-30.01619	-206.0746505
-30.51579	-204.6783587
-31.01538	-205.5905775
-31.51498	-206.5716717
-32.01458	-205.4854711
-32.51417	-208.7750152
-33.01376	-207.8955623
-32.49694	-143.6839514
-31.99734	-141.9448632
-31.48052	-135.6178723
-30.99816	-131.6444985
-30.49856	-128.1482067
-29.99897	-124.1006079
-29.48214	-121.1846809
-28.99977	-117.3146505
-28.48295	-115.9837082
-27.98336	-109.5241945
-27.48376	-107.7161702
-26.98417	-102.6004863
-26.48457	-100.48231
-25.98498	-98.36419453
-25.48538	-94.83337386
-24.96856	-90.16030395
-24.48619	-86.01458967
-23.9866	-84.58559271
-23.487	-81.26151976
-22.98741	-78.48869301
-22.48781	-75.95714286
-21.98822	-72.18510638
-21.48862	-69.79136778
-20.98903	-64.98571429
-20.48943	-62.72972644
-19.98984	-60.3015076
-19.49024	-56.63288146
-18.99065	-54.51473556
-18.49105	-51.6041155
-17.99146	-49.14141641
-17.49186	-46.6442614
-16.99227	-43.80255927
-16.49267	-40.0994772
-15.99307	-38.46369605
-15.49348	-34.58832827
-14.99388	-32.53908207
-14.49429	-28.9393617
-13.99469	-26.95902736
-13.4951	-24.01395137
-12.9955	-19.82848632
-12.49591	-16.64222492
-11.99631	-13.21477204
-11.49672	-10.37305775
-10.99712	-7.186796353
-10.49753	-3.483700304
-9.997932	-0.435252401
-9.498337	1.062711246
-8.998742	7.005392097
-8.499146	8.193264438
-7.999552	11.79299088
-7.499957	13.91115502
-6.983134	18.72213374
-6.483539	19.2208997
-5.983944	20.68441337
-5.484349	24.52533131
-4.984754	29.08980547
-4.467931	30.62755015
-3.968336	33.64154407
-3.485968	37.92506383
-2.986373	40.59450456
-2.486778	44.64215198
-1.987183	47.6561459
-1.487588	52.42735562
-0.9879924	52.89167781
-0.4883973	57.31833435
0.01119782	58.1616535
0.510793	60.83112462
1.010388	64.98212766
1.509983	66.61793313
2.009578	71.42358663
2.509173	72.68036474
3.008769	76.21118541
3.508364	79.25963526
4.007959	79.55167173
4.507554	83.32364742
5.007149	86.40656535
5.506744	88.24911854
6.00634	93.19258359
6.505935	94.96620061
7.00553	97.56674772
7.505125	100.4429179
8.004721	102.5266261
8.504315	105.816231
9.003911	108.0722188
9.503506	111.1206687
10.0031	113.6867477
10.51992	114.6387234
11.00229	117.2683891
11.50189	118.2840122
12.01871	119.6150152
12.50108	123.5884498
13.00067	126.9813982
13.50027	129.3063222
14.01709	130.327234
14.51668	133.6857751
15.01628	134.3567781
15.51587	138.3010942
16.01547	140.3158663
16.51506	141.2280851
17.01466	145.7925228
17.51426	146.7736778
18.01385	148.4094225
18.53067	151.187538
19.01304	152.5079027
19.51264	155.2807295
20.01223	156.8131307
20.51183	157.7942249
21.01142	159.7401216
21.51101	162.3061398
22.01061	164.389848
22.51021	166.6457751
23.0098	167.7647416
23.5094	171.3989058
24.00899	172.1043769
24.50859	174.6704559
25.00818	177.1675988
25.50778	179.5268693
26.00737	180.714772
26.50697	183.9009726
27.00656	184.4686322
27.50616	186.4489362
28.00575	186.7409119
28.50535	188.9968997
29.00494	190.7359878
29.50454	191.8204863
30.00413	194.007538
30.50373	195.7810942
31.00332	196.9344681
31.50292	199.5349544
32.00251	201.6874772
32.50211	202.3929483
33.00171	203.1673556
33.51853	203.9470517
32.98448	162.4015805
32.48488	156.3900304
31.98529	156.3048024
31.48569	145.8829787
30.9861	145.005228
30.4865	143.2316717
29.98691	136.5655319
29.48731	131.5187234
28.98771	130.9510638
28.48812	130.3489362
27.98853	121.8910638
27.48893	119.0838298
26.98933	118.1716109
26.48974	113.2282067
25.99014	106.3897264
25.49055	104.9951368
24.99095	99.70711246
24.49136	96.07294833
23.99176	95.3674772
23.49217	89.04583587
22.97535	85.78534954
22.49298	85.08516717
21.99338	79.69379939
21.49379	78.33367781
20.99419	77.73155015
20.4946	72.34018237
19.995	71.08340426
19.49541	67.65598784
18.99581	64.67647416
18.49622	62.17933131
17.99662	57.89048024
17.49703	55.97906383
16.99743	52.6549848
16.49784	48.74517325
15.99824	47.66066261
15.49865	42.16591489
14.99905	40.39231611
14.49946	37.17159878
13.99986	34.26097872
13.46581	33.33812158
12.98344	26.1603769
12.48385	23.18084498
11.98425	21.09714286
11.48466	17.04950152
10.98506	12.79512462
10.48547	10.50469301
